"FACID"	"bing_type"	"bing_confidence"	"bing_latitude"	"bing_longitude"	"address"
110000170	"Address"	"High"	40.8750534058	-124.0882339478	"1125 16TH STREET, ARCATA CA 95521"
110000530	"Address"	"High"	40.8750534058	-124.0882339478	"1125 16TH. STREET, ARCATA CA 95521"
110000533	"Address"	"High"	40.8750534058	-124.0882339478	"1125 16TH. STREET, ARCATA CA 95521"
110000541	"Address"	"High"	40.8750534058	-124.0882339478	"1125 16TH. STREET, ARCATA CA 95521"
110000544	"Address"	"High"	40.8750534058	-124.0882339478	"1125 16TH. STREET, ARCATA CA 95521"
60002029	"Address"	"High"	34.2750358582	-118.4877243042	"11254 GOTHIC AVE., #S-104, GRANADA HILLS CA 91344"
110000443	"Address"	"High"	38.4546966553	-122.7291946411	"1128 EDWARDS AVE, SANTA ROSA CA 95401"
960001080	"Address"	"High"	33.9279283583	-118.2106462866	"11326 LONG BEACH BLVD, LYNWOOD CA 90262"
240000978	"Address"	"High"	34.0778249502	-117.6713258028	"1135 WEST 4TH STREET, 2ND FLOOR, ONTARIO CA 91762"
110000200	"Address"	"High"	38.4563713074	-121.8405075073	"1140 PITT SCHOOL RD, DIXON CA 95620"
960001983	"Address"	"High"	34.162979126	-118.2556610107	"1141 N. BRAND BLVD., STE. 504, GLENDALE CA 91202"
110000274	"Address"	"High"	38.4403266907	-122.6989364624	"1144 #107,SONOMA AVE, SANTA ROSA CA 95405"
110000284	"Address"	"High"	38.4403266907	-122.6989364624	"1144 SONOMA AVE.#107, SANTA ROSA CA 95405"
110000430	"Address"	"High"	38.4403266907	-122.6989364624	"1144 SONOMA AVE.#107, SANTA ROSA CA 95405"
40000716	"Address"	"High"	36.151548028	-120.3414340317	"1145 PHELPS AVENUE, SUITE NO. 101, COALINGA CA 93210"
960000536	"Address"	"High"	34.2799453735	-118.3821716309	"11500 ELDRIDGE AVE, LAKEVIEW TERRACE CA 91342"
960000787	"Address"	"High"	34.2799453735	-118.3821716309	"11500 ELDRIDGE AVENUE, LAKEVIEW TERRACE CA 91342"
960000274	"Address"	"High"	34.179676	-118.382591	"11507 OXNARD STREET, NORTH HOLLYWOOD CA 91606"
110000660	"Address"	"High"	38.4426	-122.700073	"1154 MONTGOMERY DR., SUITE 3, SANTA ROSA CA 95405"
930000657	"Address"	"High"	34.280212	-118.457832	"11550 INDIAN HILLS RD., SUITE 160, MISSION HILLS CA 91345"
30001204	"Address"	"High"	38.9395675063	-121.102739498	"11583 C AVE, AUBURN CA 95603"
960000358	"Address"	"High"	34.0502624512	-118.4592132568	"11600 WILSHIRE #LL-26, LOS ANGELES CA 90025"
960000365	"Address"	"High"	34.0502624512	-118.4592132568	"11600 WILSHIRE BL, LOS ANGELES CA 90025"
960000315	"Address"	"High"	34.0502624512	-118.4592132568	"11600 WILSHIRE BLVD  SUITE LL 14, LOS ANGELES CA 90025"
960000768	"Address"	"High"	34.0502624512	-118.4592132568	"11600 WILSHIRE BLVD., LOS ANGELES CA 90025"
960001628	"Address"	"High"	34.187255	-118.385696	"11631 VICTORY BLVD #203, NORTH HOLLYWOOD CA 91606"
60000118	"Address"	"High"	33.9471054077	-118.0828018188	"11721 A  TELEGRAPH RD, SANTA FE SPRINGS CA 90607"
960001307	"Address"	"High"	33.9471054077	-118.0828018188	"11721 A TELEGRAPH RD., SANTA FE SPRINGS CA 90670"
110000277	"Address"	"High"	39.0490405262	-122.9272732884	"1173 11TH. STREET, LAKEPORT CA 95453"
70000632	"Address"	"High"	37.381565	-122.086395	"1174 CASTRO STREET, SUITE 250, MOUNTAIN VIEW CA 94040"
960001206	"Address"	"High"	33.9455913752	-118.0815495551	"11769 TELEGRAPH ROAD, SANTA FE SPRINGS CA 90670"
100000237	"Address"	"High"	38.944606781	-121.0999069214	"11775 EDUCATION ST, AUBURN CA 95602"
60001186	"Address"	"High"	33.8842720538	-117.8668548167	"1180 N. BRADFORD AVENUE, PLACENTIA CA 92670"
100001277	"Address"	"High"	38.9316673279	-121.0919647217	"11879 KEMPER RD, AUBURN CA 95603"
40000598	"Address"	"High"	36.8371729553	-119.7680494934	"1189 E. HERNDON AVE., # 106, FRESNO CA 93710"
40000597	"Address"	"High"	36.8371729553	-119.7680494934	"1189 E. HERNDON AVE., #106, FRESNO CA 93710"
40000717	"Address"	"High"	37.3190874606	-120.4899828136	"1190 W. OLIVE, SUITE D, MERCED CA 95340"
110000478	"Address"	"High"	39.4390449524	-123.7892150879	"1197 CHESTNUT, FORT BRAGG CA 95437"
960000798	"Address"	"High"	34.051898	-118.472084	"11980 SAN VICENTE BLVD., #108, LOS ANGELES CA 90049"
140000471	"Address"	"High"	37.876571	-122.180442	"12 CAMINO ENCINAS, ORINDA CA 94563"
140000602	"Address"	"High"	37.8765716553	-122.1804428101	"12 CAMINO ENCINAS, ORINDA CA 94563"
140000446	"Address"	"High"	37.9113769531	-122.042427063	"120 LA CASA VIA, SUITE 209, WALNUT CREEK CA 94598"
70000257	"Address"	"High"	36.589641571	-121.8804855347	"1200 AGUAJITO ROAD, MONTEREY CA 93940"
70000799	"Address"	"High"	36.9690704346	-121.9641876221	"1200 H 41ST  AVENUE, CAPITOLA CA 95010"
60000286	"Address"	"High"	33.7551651001	-117.8681335449	"1200 N. MAIN ST. #300, SANTA ANA CA 92701"
960001118	"Address"	"High"	33.9012908936	-118.3934173584	"1200 ROSECRANS, #101, MANHATTAN BEACH CA 90266"
40000515	"Address"	"High"	36.8154716492	-119.6912841797	"1200 SUNNYSIDE AVENUE, SUITE C, CLOVIS CA 93612"
110000725	"Address"	"High"	38.3876553923	-122.8137031943	"1205 GRAVENSTEIN HWY SO., SEBASTOPOL CA 95472"
100000178	"Address"	"High"	38.6658225954	-121.7933131009	"1207 FAIRCHILD CT, WOODLAND CA 95695"
960001067	"Address"	"High"	33.9981842041	-118.4237747192	"12099 WEST WASHINGTON BLVD   408, LOS ANGELES CA 90066"
110000692	"Address"	"High"	39.421691224	-123.8057416677	"121 A BOATYARD CENTER, FORT BRAGG CA 95436"
110000421	"Address"	"High"	39.421691224	-123.8057416677	"121 A BOATYARD DRIVE, FORT BRAGG CA 95437"
980002230	"Address"	"High"	34.157924	-118.397834	"12135 RIVERSIDE DRIVE, VALLEY VILLAGE CA 91607"
70000267	"Address"	"High"	37.0140571594	-121.5947647095	"1215 FIRST STREET, GILROY CA 95020"
60001499	"Address"	"High"	33.7371482849	-118.2808990479	"122 W. 8TH STREET, SAN PEDRO CA 90731"
140000756	"Address"	"High"	37.8776931763	-122.0696487427	"1220 ROSSMOOR PARKWAY, WALNUT CREEK CA 94595"
110000519	"Address"	"High"	38.4395828247	-122.6875991821	"1221 FARMERS LANE, SUITE 100, SANTA ROSA CA 95405"
110000520	"Address"	"High"	38.439582	-122.687599	"1221 FARMERS LANE, SUITE 100, SANTA ROSA CA 95405"
40000494	"Address"	"High"	36.7362179607	-119.792739898	"1221 FULTON MALL, FRESNO CA 93721"
40000497	"Address"	"High"	36.7362179607	-119.792739898	"1221 FULTON MALL, FRESNO CA 93721"
250001699	"Address"	"High"	33.8397789001	-116.5461730957	"1221 NORTH INDIAN CANYON DRIVE, PALM SPRINGS CA 92262"
240001125	"Address"	"High"	34.03181	-117.323554	"12210 MICHIGAN STREET, UNIT E, GRAND TERRACE CA 92313"
960002121	"Address"	"High"	34.0217590332	-118.4934997559	"1227 LINCOLN BLVD  SUITE 222, SANTA MONICA CA 90601"
90000516	"Address"	"High"	32.7949089557	-116.9626902044	"123 WEST MAIN ST., EL CAJON CA 92020"
100001288	"Address"	"High"	38.566860199	-121.4949951172	"1234 U ST, SACRAMENTO CA 95818"
60000257	"Address"	"High"	33.90546	-118.070129	"12360 E. FIRESTONE BLVD., NORWALK CA 90650"
240001530	"Address"	"High"	34.0990943909	-117.6350250244	"1238 E. ARROW HWY, UPLAND CA 91786"
960000719	"Address"	"High"	34.1492500305	-118.8376693726	"1240 WESTLAKE BL#235, WESTLAKE VILLAGE CA 91361"
980002459	"Address"	"High"	33.9047698975	-118.0684738159	"12440 FIRESTONE BLVD, NORWALK CA 90650"
960000775	"Address"	"High"	33.971	-118.04557	"12449 EAST PUTNAM, #C, WHITTIER CA 90602"
240000960	"Address"	"High"	34.0794382989	-117.6512984186	"1245 NORTH EUCLID, ROOM B-1, ONTARIO CA 91762"
240000590	"Address"	"High"	34.0268026292	-117.6892355829	"12467 CENTRAL AVENUE, CHINO CA 91710"
40000272	"Address"	"High"	36.8154945374	-119.7873458862	"125 E. BARSTOW,#111, FRESNO CA 93710"
110000577	"Address"	"High"	38.4461555481	-121.8372344971	"125 N LINCOLN, SUITE B, DIXON CA 95620"
960001454	"Address"	"High"	33.964778	-118.047004	"12522 E LAMBERT, WHITTIER CA 90606"
240000961	"Address"	"High"	34.4794273376	-117.2915267944	"12550 HESPERIA RD #212, VICTORVILLE CA 92392"
250001677	"Address"	"High"	33.8106842041	-117.2243499756	"126 AVOCADO AVENUE #101, PERRIS CA 92571"
250001678	"Address"	"High"	33.8106842041	-117.2243499756	"126 AVOCADO AVENUE, SUITE 101, PERRIS CA 92571"
110000452	"Address"	"High"	38.4492073059	-122.7320404053	"1260 N. DUTTON,STE.#200, SANTA ROSA CA 95401"
960000290	"Address"	"High"	34.15723	-118.408111	"12626 RIVERSIDE DRIVE  SUITE 350, NORTH HOLLYWOOD CA 91607"
20001271	"Address"	"High"	37.7731018066	-121.960319519	"12657 ALCOSTA BOULEVARD, SAN RAMON CA 94583"
960002747	"Address"	"High"	33.915985	-118.012405	"12675 LA MIRADA BLVD. #305, LA MIRADA CA 90638"
110000425	"Address"	"High"	38.13034	-122.238746	"127 HOSPITAL DRIVE #101, VALLEJO CA 94589"
110000545	"Address"	"High"	38.1303405762	-122.2387466431	"127 HOSPITAL DRIVE #101, VALLEJO CA 94589"
110000278	"Address"	"High"	38.1303405762	-122.2387466431	"127 HOSPITAL DRIVE, #101, VALLEJO CA 94589"
30001186	"Address"	"High"	38.0744531751	-120.5373492837	"1270 SUZANNE DRIVE, ANGELS CAMP CA 95221"
40001406	"Address"	"High"	36.8077049255	-119.8146438599	"1275 W SHAW AVE, FRESNO CA 93711"
110000500	"Address"	"High"	39.0355911255	-122.928894043	"1279 CRAIG AVE, LAKEPORT CA 95453"
60000487	"Address"	"High"	33.7754211426	-117.9541625977	"12912 BROOKHURST, GARDEN GROVE CA 92640"
60000850	"Address"	"High"	33.7754211426	-117.9541625977	"12912 BROOKHURST, GARDEN GROVE CA 92640"
960000322	"Address"	"High"	34.1452536732	-118.4147576988	"12930 VENTURA BLVD 204, STUDIO CITY CA 91604"
90001001	"Address"	"High"	32.7914085388	-115.5674133301	"1295 STATE STREET, EL CENTRO CA 92243"
70001007	"Address"	"High"	37.2809524536	-122.0051803589	"12961 VILLAGE DRIVE, SARATOGA CA 95070"
140000078	"Address"	"High"	37.9106140137	-122.0449676514	"130 TAMPICO STREET, WALNUT CREEK CA 94598"
140000445	"Address"	"High"	37.72708565	-122.1477784216	"1300 BANCROFT AVE, SAN LEANDRO CA 94577"
960001609	"Address"	"High"	34.096309	-118.290702	"1300 N. VERMONT AVE. #510, LOS ANGELES CA 90027"
960001919	"Address"	"High"	33.7390327454	-118.3059005737	"1300 W. SIXTH STREET, SAN PEDRO CA 90732"
960000827	"Address"	"High"	33.739032	-118.3059	"1300 WEST 6TH STREET, SAN PEDRO CA 90732"
110000187	"Address"	"High"	38.445602417	-122.7051849365	"1303 COLLEGE AVE, SANTA ROSA CA 95404"
960000281	"Address"	"High"	34.688915	-118.15483	"1306 WEST AVENUE J  SUITE 2, LANCASTER CA 93534"
960000282	"Address"	"High"	34.688915	-118.15483	"1306 WEST AVENUE J SUITE 3, LANCASTER CA 93534"
120001584	"Address"	"High"	36.2982711792	-119.1323471069	"131 CRESPI, EXETER CA 93221"
40000629	"Address"	"High"	36.100044	-119.564201	"1310 HANNA AVENUE, SUITE 1, CORCORAN CA 93212"
960000571	"Address"	"High"	34.1711540222	-118.4192581177	"13130 BURBANK BLVD., VAN NUYS CA 91401"
960000777	"Address"	"High"	34.1711540222	-118.4192581177	"13130 BURBANK BLVD., VAN NUYS CA 91401"
960001369	"Address"	"High"	34.171154	-118.419258	"13130 BURBANK BLVD., VAN NUYS CA 91407"
100000086	"Address"	"High"	37.9651374817	-121.2977600098	"1319 N MADISON ST, STOCKTON CA 95202"
120000547	"Address"	"High"	35.759738	-117.376907	"13193 MAIN STREET, TRONA CA 93562"
240000923	"Address"	"High"	35.7597389221	-117.3769073486	"13193 MAIN STREET, TRONA CA 93562"
630014879	"Address"	"High"	37.9681243896	-122.0511779785	"1320 WILLOW PASS ROAD, CONCORD CA 94520"
960001205	"Address"	"High"	34.0686652064	-117.9367531836	"1323 WEST COVINA PKY, WEST COVINA CA 91790"
960000792	"Address"	"High"	34.688903	-118.155616	"1324 W AVENUE J, LANCASTER CA 93534"
30000301	"Address"	"High"	38.6664962769	-121.7926330566	"1325 COTTONWOOD ST, WOODLAND CA 95695"
40000481	"Address"	"High"	36.102016449	-119.5651397705	"1326 PATTERSON, CORCORAN CA 93212"
70000589	"Address"	"High"	36.5077105165	-121.4435275644	"133 4TH STREET, GONZALES CA 93926"
960000263	"Address"	"High"	34.143497467	-118.1342391968	"133 S. HUDSON AV,#2, PASADENA CA 91101"
960001057	"Address"	"High"	34.143497467	-118.1342391968	"133 SOUTH HUDSON  2, PASADENA CA 91101"
960000284	"Address"	"High"	34.143497467	-118.1342391968	"133 SOUTH HUDSON, SUITE 2, PASADENA CA 91101"
960001853	"Address"	"High"	34.6899604797	-118.1556625366	"1331 AVENUE J WEST, LANCASTER CA 93543"
90000867	"Address"	"High"	32.747631669	-115.5604990572	"1331 CLARK ROAD, EL CENTRO CA 92243"
110000283	"Address"	"High"	38.347282	-122.68444	"1331 MEDICAL CENTER DRIVE #A, ROHNERT PARK CA 94928"
110000295	"Address"	"High"	38.347282	-122.68444	"1331 MEDICAL CENTER DRIVE, #A, ROHNERT PARK CA 94928"
960001828	"Address"	"High"	34.6899604797	-118.1556625366	"1331 W. AVENUE J., SUITE 201, LANCASTER CA 93534"
140000030	"Address"	"High"	37.9545555115	-122.3336257935	"13328 SAN PABLO AVENUE, SAN PABLO CA 94806"
70000892	"Address"	"High"	37.400714	-121.848739	"1333 PIEDMONT ROAD, SUITE 108, SAN JOSE CA 95132"
60002030	"Address"	"High"	34.2809526622	-118.4233354032	"13330 VAUGHN STREET, SAN FERNANDO CA 91340"
960002862	"Address"	"High"	34.5793037415	-118.1041870117	"1334 E. PALMDALE BLVD., PALMDALE CA 93550"
960001209	"Address"	"High"	34.0294723511	-118.4804153442	"1339 20TH STREET, SANTA MONICA CA 90404"
140000607	"Address"	"High"	37.6784286499	-122.0780181885	"1346 A STREET, HAYWARD CA 94542"
960000346	"Address"	"High"	34.207359	-118.207069	"1346 FOOTHILL BLVD., #101, LA CANADA CA 91011"
240000962	"Address"	"High"	34.0087211877	-117.6892805099	"13460 CENTRAL AVENUE #G, CHINO CA 91710"
60000762	"Address"	"High"	32.8368797302	-116.7766265869	"1347 TAVERN RD. #6, ALPINE CA 92001"
70000446	"Address"	"High"	36.9777723402	-121.8910782784	"135-C MONTE VISTA DR., WATSONVILLE CA 95076"
960000261	"Address"	"High"	33.7390403748	-118.3066482544	"1350 W. 6TH ST. #1, SAN PEDRO CA 90730"
960002201	"Address"	"High"	33.783771	-118.15274	"1355 REDONDO AVE SUITE 1, LONG BEACH CA 90804"
40000759	"Address"	"High"	36.8078689575	-119.8162384033	"1357 WEST SHAW, SUITE #101, FRESNO CA 93711"
110000186	"Address"	"High"	38.5040149838	-122.47158207	"1360 ADAMS STREET, ST HELENA CA 94574"
110000195	"Address"	"High"	38.2735328674	-122.6640014648	"1360 N. MC DOWELL BLVD, PETALUMA CA 94952"
960000286	"Address"	"High"	33.9078151435	-118.3613441885	"13649 INGLEWOOD AVE, HAWTHORNE CA 90250"
120001576	"Address"	"High"	36.328811	-119.353431	"137 SOUTH ASPEN COURT, VISALIA CA 93291"
