Production,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,7989.69939617,8028.0653348,8135.50604027,8605.69125545,9321.41913057,10088.3271006,10194.6435733,10485.2167768,10578.924137,10434.2752445,10681.8211149,9247.70256808,9904.64624246,9253.59710233,8718.9251763,8582.79058178,8121.35935175
Asia & Oceania,8320.13675939,8290.91621509,8324.01652036,8267.16889731,8385.08056318,8552.05885814,8626.1073784,8655.43411161,8820.8226483,8899.42844215,9352.8545726,9327.292,9484.02583115,9495.97285753,9641.89068721,9782.73014995,9496.33615322
Central & South America,7313.03143308,7217.85227193,6928.45687798,6684.535716,7025.77419013,7242.68175932,7295.70122042,7270.56797536,7510.49020381,7726.45499313,7891.85410218,8064.49181594,8004.19386326,8120.15360108,8406.73274616,8594.60135238,8273.06284373
Eurasia,8184.69631535,8773.67006173,9428.8283971,10424.0925053,11346.9376073,11766.195973,12214.0937262,12687.5807715,12638.8806243,13024.5839892,13366.3231714,13492.7468384,13608.0188306,13782.0758156,13901.8924548,14111.6470356,14229.538929
Europe,7166.34101703,7226.22467022,7170.54916152,6962.56180277,6591.29134179,6166.0621584,5777.47984575,5445.43339512,5225.13548583,4983.13601314,4657.24600298,4306.43536301,3993.3993358,3812.10937838,3857.98505548,4021.45638151,4070.54258026
Middle East,23484.2203787,22793.0772391,21570.8328089,22992.1836155,25070.0134959,26091.7855374,25774.4260042,25286.0877962,26764.3489129,25326.470099,26220.6088857,27674.2056581,27881.2855109,27472.7610301,27938.1868438,29391.4056548,31074.9614772
North America,15271.0057169,15343.4002334,15545.4818068,15687.1556021,15709.558711,15207.488561,15315.9761929,15417.9197726,15098.9088934,15452.9105611,16109.2582137,16686.472683,17905.3448942,19357.0416874,21346.8404986,22259.4285247,21909.5215742
