"Year","Women median weekly earnings","Women workers (thousands)","Men median weekly earnings","Men workers (thousands)","Occupation","Type1","Type2","Type3"
2011,1464,245,2122,745,"Chief executives","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,972,270,1319,651,"General and operations managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,4,,9,"Legislators","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,40,,28,"Advertising and promotions managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1127,392,1660,499,"Marketing and sales managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,29,,33,"Public relations and fundraising managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,44,1170,71,"Administrative services managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1543,138,1595,392,"Computer and information systems managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,991,567,1504,477,"Financial managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,14,,7,"Compensation and benefits managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1273,149,1488,58,"Human resources managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,12,,24,"Training and development managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,45,1245,204,"Industrial production managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1026,89,1368,94,"Purchasing managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,33,861,196,"Transportation, storage, and distribution managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,17,855,81,"Farmers, ranchers, and other agricultural managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,31,1325,433,"Construction managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1061,467,1532,268,"Education administrators","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,7,1908,91,"Architectural and engineering managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,599,314,734,361,"Food service managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,5,,4,"Funeral service managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,7,,15,"Gaming managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,841,55,,36,"Lodging managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1166,325,1456,125,"Medical and health services managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,7,,5,"Natural sciences managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,19,,10,"Postmasters and mail superintendents","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,728,182,1201,135,"Property, real estate, and community association managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,973,196,1221,81,"Social and community service managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,1,,4,"Emergency management directors","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1047,737,1406,1313,"Managers, all other","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,13,,12,"Agents and business managers of artists, performers, and athletes","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,2,,5,"Buyers and purchasing agents, farm products","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,849,62,928,68,"Wholesale and retail buyers, except farm products","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,945,118,1129,108,"Purchasing agents, except wholesale, retail, and farm products","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,804,162,1077,110,"Claims adjusters, appraisers, examiners, and investigators","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,995,78,1279,98,"Compliance officers","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,19,1117,87,"Cost estimators","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,912,406,1053,116,"Human resources workers","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,39,,13,"Compensation, benefits, and job analysis specialists","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,951,64,1260,53,"Training and development specialists","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,27,938,50,"Logisticians","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,1174,208,1514,250,"Management analysts","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,892,71,,16,"Meeting, convention, and event planners","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,42,,14,"Fundraisers","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,1029,101,1446,66,"Market research analysts and marketing specialists","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,908,149,1185,88,"Business operations specialists, all other","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,956,852,1250,532,"Accountants and auditors","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,20,,30,"Appraisers and assessors of real estate","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,30,,22,"Budget analysts","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,12,,9,"Credit analysts","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,22,,40,"Financial analysts","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,941,97,1535,173,"Personal financial advisors","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,939,64,,44,"Insurance underwriters","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,5,,2,"Financial examiners","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,829,159,1345,147,"Credit counselors and loan officers","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,40,,27,"Tax examiners and collectors, and revenue agents","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,41,,13,"Tax preparers","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,41,,30,"Financial specialists, all other","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2011,,2,,17,"Computer and information research scientists","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,1144,132,1410,242,"Computer systems analysts","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,,7,,38,"Information security analysts","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,1238,83,1330,329,"Computer programmers","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,1388,179,1606,812,"Software developers, applications and systems software","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,,35,1033,81,"Web developers","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,951,107,896,326,"Computer support specialists","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,,48,1470,90,"Database administrators","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,,49,1243,172,"Network and computer systems administrators","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,,12,1585,81,"Computer network architects","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,998,61,1165,221,"Computer occupations, all other","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,,5,,12,"Actuaries","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,,1,,1,"Mathematicians","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,1326,51,1258,66,"Operations research analysts","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,,13,,17,"Statisticians","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,,2,,5,"Miscellaneous mathematical science occupations","Management, professional, and related occupations","Professional and related occupations","Computer and mathematical occupations"
2011,,21,1351,92,"Architects, except naval","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,5,,26,"Surveyors, cartographers, and photogrammetrists","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,16,1745,119,"Aerospace engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,0,,1,"Agricultural engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,2,,10,"Biomedical engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,16,1885,57,"Chemical engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,46,1436,289,"Civil engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,10,1546,66,"Computer hardware engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,26,1455,256,"Electrical and electronics engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,10,,26,"Environmental engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,34,1356,143,"Industrial engineers, including health and safety","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,1,,6,"Marine engineers and naval architects","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,4,,26,"Materials engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,16,1399,290,"Mechanical engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,1,,8,"Mining and geological engineers, including mining safety engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,2,,20,"Nuclear engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,1,,18,"Petroleum engineers","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,35,1361,275,"Engineers, all other","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,23,1052,102,"Drafters","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,40,952,301,"Engineering technicians, except drafters","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,6,,47,"Surveying and mapping technicians","Management, professional, and related occupations","Professional and related occupations","Architecture and engineering occupations"
2011,,10,,17,"Agricultural and food scientists","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,853,50,1177,53,"Biological scientists","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,4,,18,"Conservation scientists and foresters","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,1127,78,1102,64,"Medical scientists","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,4,,15,"Astronomers and physicists","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,1,,6,"Atmospheric and space scientists","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,38,,45,"Chemists and materials scientists","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,25,1408,61,"Environmental scientists and geoscientists","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,1167,51,1483,82,"Physical scientists, all other","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,8,,12,"Economists","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,0,,0,"Survey researchers","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,1244,74,,31,"Psychologists","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,2,,0,"Sociologists","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,9,,10,"Urban and regional planners","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,29,,19,"Miscellaneous social scientists and related workers","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,6,,7,"Agricultural and food science technicians","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,9,,10,"Biological technicians","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,29,,40,"Chemical technicians","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,3,,3,"Geological and petroleum technicians","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,1,,2,"Nuclear technicians","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,0,,1,"Social science research assistants","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,,49,807,69,"Miscellaneous life, physical, and social science technicians","Management, professional, and related occupations","Professional and related occupations","Life, physical, and social science occupations"
2011,808,380,874,188,"Counselors","Management, professional, and related occupations","Professional and related occupations","Community and social service occupations"
2011,798,554,902,130,"Social workers","Management, professional, and related occupations","Professional and related occupations","Community and social service occupations"
2011,,44,,41,"Probation officers and correctional treatment specialists","Management, professional, and related occupations","Professional and related occupations","Community and social service occupations"
2011,597,83,,21,"Social and human service assistants","Management, professional, and related occupations","Professional and related occupations","Community and social service occupations"
2011,,39,,23,"Miscellaneous community and social service specialists, including health educators and community health workers","Management, professional, and related occupations","Professional and related occupations","Community and social service occupations"
2011,889,51,961,292,"Clergy","Management, professional, and related occupations","Professional and related occupations","Community and social service occupations"
2011,,25,,10,"Directors, religious activities and education","Management, professional, and related occupations","Professional and related occupations","Community and social service occupations"
2011,,26,,24,"Religious workers, all other","Management, professional, and related occupations","Professional and related occupations","Community and social service occupations"
2011,1631,242,1884,462,"Lawyers","Management, professional, and related occupations","Professional and related occupations","Legal occupations"
2011,,3,,1,"Judicial law clerks","Management, professional, and related occupations","Professional and related occupations","Legal occupations"
2011,,26,,32,"Judges, magistrates, and other judicial workers","Management, professional, and related occupations","Professional and related occupations","Legal occupations"
2011,813,286,884,52,"Paralegals and legal assistants","Management, professional, and related occupations","Professional and related occupations","Legal occupations"
2011,788,120,,35,"Miscellaneous legal support workers","Management, professional, and related occupations","Professional and related occupations","Legal occupations"
2011,1093,399,1358,526,"Postsecondary teachers","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,603,519,,13,"Preschool and kindergarten teachers","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,933,1973,1022,463,"Elementary and middle school teachers","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,989,575,1049,431,"Secondary school teachers","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,935,308,967,55,"Special education teachers","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,739,205,1105,163,"Other teachers and instructors","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,,26,,12,"Archivists, curators, and museum technicians","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,813,118,,21,"Librarians","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,,10,,3,"Library technicians","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,471,566,,39,"Teacher assistants","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,979,71,,23,"Other education, training, and library workers","Management, professional, and related occupations","Professional and related occupations","Education, training, and library occupations"
2011,,21,,36,"Artists and related workers","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,816,201,1045,257,"Designers","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,2,,6,"Actors","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,47,1130,58,"Producers and directors","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,25,919,84,"Athletes, coaches, umpires, and related workers","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,3,,3,"Dancers and choreographers","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,5,,29,"Musicians, singers, and related workers","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,4,,3,"Entertainers and performers, sports and related workers, all other","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,9,,24,"Announcers","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,18,,44,"News analysts, reporters and correspondents","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,887,75,,49,"Public relations specialists","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,892,74,933,58,"Editors","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,26,,20,"Technical writers","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,43,,42,"Writers and authors","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,32,,15,"Miscellaneous media and communication workers","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,6,872,73,"Broadcast and sound engineering technicians and radio operators","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,16,,29,"Photographers","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,5,,22,"Television, video, and motion picture camera operators and editors","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,1,,1,"Media and communication equipment workers, all other","Management, professional, and related occupations","Professional and related occupations","Arts, design, entertainment, sports, and media occupations"
2011,,2,,3,"Chiropractors","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,9,,33,"Dentists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,906,64,,6,"Dietitians and nutritionists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,3,,6,"Optometrists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,1898,110,1998,85,"Pharmacists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,1527,206,1935,366,"Physicians and surgeons","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,44,,24,"Physician assistants","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,1,,0,"Podiatrists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,10,,4,"Audiologists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,1193,62,,10,"Occupational therapists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,1216,87,1522,59,"Physical therapists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,10,,2,"Radiation therapists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,7,,3,"Recreational therapists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,1028,73,966,53,"Respiratory therapists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,1076,84,,3,"Speech-language pathologists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,1,,1,"Exercise physiologists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,869,64,,19,"Therapists, all other","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,28,,12,"Veterinarians","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,1034,1937,1081,208,"Registered nurses","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,10,,16,"Nurse anesthetists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,2,,0,"Nurse midwives","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,1432,69,,11,"Nurse practitioners","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,2,,3,"Health diagnosing and treating practitioners, all other","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,845,206,888,77,"Clinical laboratory technologists and technicians","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,992,59,,3,"Dental hygienists","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,964,191,1054,82,"Diagnostic related technologists and technicians","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,649,54,757,113,"Emergency medical technicians and paramedics","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,632,283,682,91,"Health practitioner support technologists and technicians","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,720,386,,39,"Licensed practical and licensed vocational nurses","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,574,96,,10,"Medical records and health information technicians","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,26,,8,"Opticians, dispensing","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,711,89,,38,"Miscellaneous health technologists and technicians","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2011,,22,,41,"Other healthcare practitioners and technical occupations","Management, professional, and related occupations","Professional and related occupations","Healthcare practitioners and technical occupations"
2012,1730,265,2275,739,"Chief executives","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,971,278,1436,705,"General and operations managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,3,,4,"Legislators","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,29,,36,"Advertising and promotions managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,1110,402,1640,514,"Marketing and sales managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,39,,17,"Public relations and fundraising managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,1038,57,1212,76,"Administrative services managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,1527,145,1740,423,"Computer and information systems managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,988,616,1405,509,"Financial managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,9,,7,"Compensation and benefits managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,1208,160,1447,56,"Human resources managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,17,,16,"Training and development managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,34,1181,185,"Industrial production managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,1072,99,1467,104,"Purchasing managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,36,938,240,"Transportation, storage, and distribution managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,14,699,89,"Farmers, ranchers, and other agricultural managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,35,1233,425,"Construction managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,1052,454,1566,250,"Education administrators","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,9,2116,101,"Architectural and engineering managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,601,327,744,351,"Food service managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,4,,5,"Funeral service managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,6,,15,"Gaming managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,47,1131,53,"Lodging managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,1190,358,1544,144,"Medical and health services managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,11,,7,"Natural sciences managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,21,,14,"Postmasters and mail superintendents","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,817,200,1045,153,"Property, real estate, and community association managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,883,184,1151,76,"Social and community service managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,2,,3,"Emergency management directors","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,1078,902,1409,1465,"Managers, all other","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2012,,16,,15,"Agents and business managers of artists, performers, and athletes","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2012,,2,,6,"Buyers and purchasing agents, farm products","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2012,847,75,853,66,"Wholesale and retail buyers, except farm products","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2012,942,130,1057,109,"Purchasing agents, except wholesale, retail, and farm products","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2012,803,203,1158,104,"Claims adjusters, appraisers, examiners, and investigators","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2012,999,91,1304,101,"Compliance officers","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2012,,10,1164,81,"Cost estimators","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2012,944,401,1249,158,"Human resources workers","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2012,866,59,,13,"Compensation, benefits, and job analysis specialists","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2012,866,69,1144,51,"Training and development specialists","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
2012,,30,1225,57,"Logisticians","Management, professional, and related occupations","Management, business, and financial operations occupations","Business and financial operations occupations"
