"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5837376",-122.368013201,37.9252649091,2012,"0710","0","7","4","05",0,1,"A",,,,,,1200,9,"D","C","A","CUTTING BL","2ND ST",0,,"Y","2013-12-03",710,"2012-09-30",1007,"1462",,"5","5","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",21650,,"F","A","H","-","A","A","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5837372",-122.354209172,37.9341049626,2012,"0710","0","6","3","12",0,1,"A",,,,,,1500,9,"B","C","A","BISSELL AV","16TH ST",30,"E","N","2014-01-31",710,"2012-09-29",1301,"1603",,"5","5","0","0",,"0","006","-","N",,0,0,,,0,,,,"Y",3,"A","-",22450,,"M","A","H","-","A","A","0","Y","-","-",0,1,0,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5837368",-122.276726725,37.9716285768,2012,"0710","0","7","3","01",0,1,"A",,,,,"Y",300,9,"-","E","A","MORNINGSIDE DR","SKY HAWK DR",782,"S","N","2013-12-03",710,"2012-09-23",9,"1586",,"5","5","0","0",,"0","009","-","N",,0,0,,,0,,,,"Y",3,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5837364",-122.335233126,37.9253448615,2012,"0710","0","7","3","11",0,1,"A","Y",,,,"Y",2100,9,"G","B","D","CUTTING BL","36TH",0,,"Y","2013-12-04",710,"2012-09-02",2048,"1623","SOUTH","5","5","0","0",,"0","003","-","Y",,0,0,,,0,,,,"N",2,"A","-",21954,"A","N","A","H","-","D","-","0","Y","N","60",0,1,0,0,1,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5837308",-122.325273209,37.9789749042,2012,"0710","0","4","4","09",0,2,"A",,,,,,1500,9,"D","C","A","HILLTOP MALL RD","GARRITY WY",0,,"Y","2014-02-05",710,"2012-09-13",1441,"267",,"5","5","0","0",,"0","008","-","N",,0,0,,,0,,,,"Y",2,"A","-",21803,"A","N","A","H","-","A","D","0","Y","-","-",0,0,2,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5837279",0,0,2012,"0710","0","7","4","-",0,1,"A",,,,,"Y",2100,9,"A","D","A","BERK AV","BERK AV 605",8,,"Y","2014-01-02",710,"2012-09-02",1941,"1557","SOUTH","5","5","0","0",,"0","003","-","Y",,0,0,,,0,,,,"Y",3,"A","-",0,,"N","A","C","-","B","-","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5837278",-122.334313172,37.9253748473,2012,"0710","0","7","4","09",0,1,"A",,,,,,1200,9,"D","C","A","CUTTING BL","37TH ST",0,,"Y","2013-12-10",710,"2012-09-02",1046,"1584","0710","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",3,"A","-",21801,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5837277",-122.359983105,37.9421149387,2012,"0710","0","2","4","05",0,1,"A",,"Y",,,"Y",2100,9,"D","G","A","HARBOR WY","PENNSYLVANIA AV",0,,"Y","2013-12-09",710,"2012-09-25",1938,"1133","NORTH","5","5","0","0",,"0","005","-","N",,0,0,,,0,,,,"N",2,"A","-",21650,"1","N","A","H","-","B","A","0","Y","L","04",0,0,1,0,0,0,1,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5837273",-122.354292413,37.9341049623,2012,"0710","0","6","3","10",0,1,"A","Y",,,,,2100,9,"G","B","B","BISSELL AV","16TH ST",6,"E","N","2014-02-14",710,"2012-09-08",1903,"1647",,"5","5","0","0",,"0","006","-","N",,0,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","-","-",0,1,0,0,1,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"5837269",-122.36004321,37.9368349343,2012,"0710","0","4","4","10",0,1,"A","Y",,,,,1200,9,"D","B","B","HARBOUR WY","NEVIN AV",0,,"Y","2013-12-10",710,"2012-09-20",1028,"1324","CENTR","5","5","0","0",,"0","005","-","N",,0,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","07",0,0,1,0,1,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
