"country","iso_a3","gdp_percap"
"Sao Tome and Principe","STP",3064.112173651
"Suriname","SUR","-99"
"Slovak Republic","SVK",27584.7479180411
"Slovenia","SVN",29917.0303860182
"Sweden","SWE",45143.5233249951
"Swaziland","SWZ",6349.7061671464
"Sint Maarten (Dutch part)","SXM","-99"
"Seychelles","SYC",26244.526923434
"Syrian Arab Republic","SYR","-99"
"Turks and Caicos Islands","TCA","-99"
"Chad","TCD",2244.1310033738
"Togo","TGO",1453.730197333
"Thailand","THA",14660.5526876512
"Tajikistan","TJK",2654.5594190837
"Turkmenistan","TKM",15473.629292087
"Tonga","TON",5201.4542725245
"Trinidad and Tobago","TTO","-99"
"Tunisia","TUN","-99"
"Turkey","TUR",19250.2533644942
"Tuvalu","TUV","-99"
"Taiwan, China","TWN","-99"
"Tanzania","TZA",2591.1529577296
"Uganda","UGA",1717.4331392605
"Ukraine","UKR",8665.4838752642
"Uruguay","URY",20889.2814236194
"United States","USA",54629.4951678912
"Uzbekistan","UZB",5575.866707458
"St. Vincent and the Grenadines","VCT",10619.1785038494
"Venezuela, RB","VEN",17468.6739911072
"Virgin Islands (U.S.)","VIR","-99"
"Vietnam","VNM",5628.9507678672
"Vanuatu","VUT","-99"
"Samoa","WSM",5791.2413429151
"Yemen, Rep.","YEM","-99"
"South Africa","ZAF",13046.2078345435
"Zambia","ZMB",4086.0461124036
"Zimbabwe","ZWE",1858.5988294692
"Antarctica","ATA",-99
