job,total_workers,median_pay,men_workers,men_median_pay,women_workers,women_median_pay
Chief executives,"1,150","2,303",832,"2,419",318,"1,876"
General and operations managers,876,"1,266",626,"1,358",250,"1,037"
Legislators,11,,6,,6,
Advertising and promotions managers,56,"1,332",24,,32,
Marketing and sales managers,921,"1,468",518,"1,745",403,"1,142"
Public relations and fundraising managers,60,"1,532",21,,38,
Administrative services managers,172,"1,261",101,"1,398",71,952
Computer and information systems managers,592,"1,738",443,"1,756",150,"1,680"
Financial managers,"1,105","1,423",527,"1,670",578,"1,157"
Compensation and benefits managers,16,,3,,12,
Human resources managers,263,"1,340",73,"1,737",190,"1,283"
Training and development managers,58,"1,507",27,,31,
Industrial production managers,267,"1,361",201,"1,409",66,"1,219"
Purchasing managers,187,"1,274",95,"1,400",92,"1,169"
"Transportation, storage, and distribution managers",288,990,237,990,51,988
"Farmers, ranchers, and other agricultural managers",119,892,102,906,17,
Construction managers,487,"1,395",452,"1,401",35,
Education administrators,838,"1,381",297,"1,528",541,"1,280"
Architectural and engineering managers,143,"2,258",134,"2,265",9,
Food service managers,760,739,410,853,350,632
Funeral service managers,13,,11,,1,
Gaming managers,18,,14,,4,
Lodging managers,124,929,59,"1,068",64,764
Medical and health services managers,533,"1,402",133,"1,610",399,"1,254"
Natural sciences managers,14,,6,,8,
Postmasters and mail superintendents,23,,12,,11,
"Property, real estate, and community association managers",402,959,181,"1,157",221,815
Social and community service managers,363,"1,079",115,"1,206",248,992
Emergency management directors,8,,5,,3,
"Managers, all other","2,960","1,422","1,845","1,542","1,115","1,188"
"Agents and business managers of artists, performers, and athletes",23,,11,,12,
"Buyers and purchasing agents, farm products",8,,8,,0,
"Wholesale and retail buyers, except farm products",152,838,68,942,83,765
"Purchasing agents, except wholesale, retail, and farm products",253,"1,024",128,"1,037",125,974
"Claims adjusters, appraisers, examiners, and investigators",321,969,114,"1,139",206,912
Compliance officers,252,"1,243",106,"1,274",146,"1,163"
Cost estimators,104,"1,159",96,"1,172",9,
Human resources workers,631,"1,139",166,"1,364",465,"1,089"
"Compensation, benefits, and job analysis specialists",72,"1,069",21,,51,"1,001"
Training and development specialists,129,"1,103",47,,82,959
Logisticians,111,"1,011",75,"1,116",37,
Management analysts,585,"1,476",332,"1,586",253,"1,342"
"Meeting, convention, and event planners",119,867,30,,88,852
Fundraisers,64,"1,111",22,,42,
Market research analysts and marketing specialists,246,"1,171",116,"1,345",130,"1,097"
"Business operations specialists, all other",257,"1,125",110,"1,263",146,"1,001"
Accountants and auditors,"1,451","1,153",559,"1,441",892,"1,018"
Appraisers and assessors of real estate,31,,19,,13,
Budget analysts,48,,22,,26,
Credit analysts,28,,15,,13,
Financial analysts,277,"1,525",173,"1,747",104,"1,252"
Personal financial advisors,399,"1,404",258,"1,714",142,953
Insurance underwriters,102,"1,113",34,,68,910
Financial examiners,13,,7,,6,
Credit counselors and loan officers,351,"1,054",151,"1,331",200,926
"Tax examiners and collectors, and revenue agents",58,"1,138",20,,38,
Tax preparers,53,"1,049",20,,33,
"Financial specialists, all other",56,"1,155",20,,37,
Computer and information research scientists,20,,13,,7,
Computer systems analysts,496,"1,393",314,"1,475",182,"1,328"
Information security analysts,85,"1,617",65,"1,826",20,
Computer programmers,403,"1,398",300,"1,466",104,"1,312"
"Software developers, applications and systems software","1,351","1,776","1,084","1,863",266,"1,553"
Web developers,142,"1,236",97,"1,284",45,
Computer support specialists,491,"1,060",367,"1,078",124,"1,014"
Database administrators,83,"1,731",46,,37,
Network and computer systems administrators,197,"1,232",168,"1,250",29,
Computer network architects,105,"1,502",93,"1,535",12,
Actuaries,12,,11,,1,
Mathematicians,4,,3,,0,
Operations research analysts,125,"1,315",59,"1,382",66,"1,300"
Statisticians,65,"1,405",30,,35,
"Architects, except naval",178,"1,339",135,"1,462",43,
"Surveyors, cartographers, and photogrammetrists",28,,19,,9,
Aerospace engineers,124,"1,854",114,"1,846",10,
Agricultural engineers,2,,2,,0,
Biomedical engineers,14,,12,,2,
Chemical engineers,91,"1,877",73,"1,901",18,
Civil engineers,389,"1,504",350,"1,526",39,
Computer hardware engineers,58,"1,843",46,,12,
Electrical and electronics engineers,271,"1,729",245,"1,736",26,
Environmental engineers,31,,27,,5,
