job,total_workers,median_pay,men_workers,men_median_pay,women_workers,women_median_pay
"Industrial engineers, including health and safety",215,"1,526",169,"1,580",46,
Marine engineers and naval architects,19,,18,,1,
Materials engineers,26,,21,,5,
Mechanical engineers,335,"1,560",311,"1,567",24,
"Mining and geological engineers, including mining safety engineers",8,,7,,0,
Nuclear engineers,8,,7,,1,
Petroleum engineers,35,,32,,3,
"Engineers, all other",493,"1,573",430,"1,659",63,"1,401"
Drafters,93,990,83,"1,030",10,
"Engineering technicians, except drafters",350,997,275,"1,075",75,793
Surveying and mapping technicians,67,811,61,790,5,
Agricultural and food scientists,32,,20,,12,
Biological scientists,81,"1,346",46,,35,
Conservation scientists and foresters,26,,23,,4,
Medical scientists,127,"1,211",69,"1,250",57,"1,169"
"Life scientists, all other",3,,0,,3,
Astronomers and physicists,20,,16,,4,
Atmospheric and space scientists,6,,5,,1,
Chemists and materials scientists,93,"1,306",56,"1,504",36,
Environmental scientists and geoscientists,79,"1,555",58,"1,591",21,
"Physical scientists, all other",241,"1,416",131,"1,727",111,"1,323"
Economists,22,,14,,9,
Survey researchers,1,,1,,0,
Psychologists,91,"1,260",25,,66,"1,187"
Sociologists,4,,1,,3,
Urban and regional planners,34,,21,,13,
Miscellaneous social scientists and related workers,30,,19,,11,
Agricultural and food science technicians,24,,17,,6,
Biological technicians,19,,11,,8,
Chemical technicians,75,919,50,919,25,
Geological and petroleum technicians,17,,15,,2,
Nuclear technicians,4,,3,,1,
Social science research assistants,1,,1,,0,
"Miscellaneous life, physical, and social science technicians",119,894,62,949,57,826
Counselors,657,904,184,892,473,907
Social workers,684,906,127,"1,039",557,884
Probation officers and correctional treatment specialists,100,992,39,,61,"1,004"
Social and human service assistants,151,736,29,,122,727
"Miscellaneous community and social service specialists, including health 
educators and community health workers",83,831,20,,63,767
Clergy,368,"1,039",315,"1,070",53,893
"Directors, religious activities and education",49,,23,,26,
"Religious workers, all other",42,,21,,21,
Lawyers,745,"1,897",446,"2,086",299,"1,619"
Judicial law clerks,14,,7,,7,
"Judges, magistrates, and other judicial workers",56,"1,560",35,,21,
Paralegals and legal assistants,351,874,43,,308,863
Miscellaneous legal support workers,128,"1,009",30,,98,867
Postsecondary teachers,980,"1,247",535,"1,356",445,"1,152"
Preschool and kindergarten teachers,530,626,13,,518,621
Elementary and middle school teachers,"2,836","1,009",605,"1,126","2,231",981
Secondary school teachers,965,"1,111",403,"1,146",562,"1,074"
Special education teachers,313,"1,021",49,,264,"1,018"
Other teachers and instructors,370,938,156,"1,135",214,786
"Archivists, curators, and museum technicians",36,,11,,25,
Librarians,140,987,23,,117,980
Library technicians,10,,2,,8,
Teacher assistants,588,523,56,501,532,525
"Other education, training, and library workers",91,"1,107",24,,67,"1,068"
Artists and related workers,61,"1,236",38,,23,
Designers,586,"1,086",290,"1,267",297,922
Actors,13,,8,,5,
Producers and directors,128,"1,163",78,"1,228",50,"1,030"
"Athletes, coaches, umpires, and related workers",141,826,106,862,35,
Dancers and choreographers,5,,2,,4,
"Musicians, singers, and related workers",37,,24,,13,
"Entertainers and performers, sports and related workers, all other",13,,9,,4,
Announcers,32,,24,,8,
"News analysts, reporters and correspondents",58,"1,166",30,,27,
Public relations specialists,107,"1,228",40,,67,"1,134"
Editors,120,"1,053",64,"1,112",56,"1,035"
Technical writers,56,"1,253",29,,27,
Writers and authors,99,"1,070",39,,60,983
Miscellaneous media and communication workers,59,745,24,,36,
Broadcast and sound engineering technicians and radio operators,80,"1,020",67,"1,099",13,
Photographers,43,,24,,19,
"Television, video, and motion picture camera operators and editors",31,,24,,7,
"Media and communication equipment workers, all other",1,,1,,0,
Chiropractors,18,,10,,7,
Dentists,61,"1,850",34,,27,
Dietitians and nutritionists,82,986,11,,71,997
Optometrists,18,,3,,15,
Pharmacists,222,"1,924",89,"2,096",133,"1,839"
Physicians and surgeons,806,"1,916",497,"2,343",308,"1,476"
Physician assistants,75,"1,544",25,,50,"1,547"
Podiatrists,4,,3,,0,
Audiologists,11,,2,,8,
Occupational therapists,71,"1,365",10,,61,"1,315"
Physical therapists,197,"1,325",69,"1,348",128,"1,306"
Radiation therapists,11,,1,,10,
Recreational therapists,9,,6,,3,
Respiratory therapists,76,998,22,,54,993
Speech-language pathologists,112,"1,200",3,,109,"1,172"
Exercise physiologists,1,,0,,1,
"Therapists, all other",137,920,32,,106,913
Veterinarians,65,"1,338",19,,46,
Registered nurses,"2,498","1,154",285,"1,261","2,213","1,143"
Nurse anesthetists,14,,8,,6,
Nurse midwives,5,,0,,5,
Nurse practitioners,144,"1,750",11,,133,"1,753"
"Health diagnosing and treating practitioners, all other",8,,1,,8,
Clinical laboratory technologists and technicians,295,887,97,"1,071",198,834
Dental hygienists,75,"1,034",2,,73,"1,045"
Diagnostic related technologists and technicians,254,"1,041",79,"1,156",175,936
Emergency medical technicians and paramedics,174,779,114,821,60,650
Health practitioner support technologists and technicians,474,662,113,712,361,643
Licensed practical and licensed vocational nurses,525,749,44,,481,743
Medical records and health information technicians,170,798,11,,159,793
"Opticians, dispensing",42,,14,,28,
Miscellaneous health technologists and technicians,107,745,43,,64,714
"Nursing, psychiatric, and home health aides","1,386",503,194,534,"1,192",498
Occupational therapy assistants and aides,13,,1,,12,
Physical therapist assistants and aides,48,,15,,32,
Massage therapists,45,,15,,30,
Dental assistants,199,592,19,,180,583
Medical assistants,488,572,36,,452,562
Medical transcriptionists,23,,0,,23,
Pharmacy aides,21,,2,,19,
Veterinary assistants and laboratory animal caretakers,24,,7,,17,
Phlebotomists,84,586,12,,71,570
First-line supervisors of correctional officers,55,873,35,,20,
First-line supervisors of police and detectives,120,"1,324",97,"1,361",23,
First-line supervisors of fire fighting and prevention workers,45,,41,,3,
"First-line supervisors of protective service workers, all other",89,880,66,895,23,
Firefighters,252,"1,065",244,"1,056",8,
Fire inspectors,16,,15,,1,
"Bailiffs, correctional officers, and jailers",365,749,275,793,91,672
Detectives and criminal investigators,132,"1,182",104,"1,251",28,
Fish and game wardens,8,,7,,1,
Parking enforcement workers,6,,4,,2,
Police and sheriff's patrol officers,709,"1,004",609,"1,008",100,938
Transit and railroad police,2,,2,,0,
Animal control workers,6,,4,,2,
Private detectives and investigators,60,904,31,,29,
Security guards and gaming surveillance officers,727,585,576,597,152,516
Crossing guards,23,,11,,12,
Transportation security screeners,40,,23,,16,
"Lifeguards and other recreational, and all other protective service workers",42,,28,,14,
Chefs and head cooks,356,614,288,632,68,519
First-line supervisors of food preparation and serving workers,425,528,174,666,251,485
Cooks,"1,408",444,892,459,515,421
Food preparation workers,477,419,215,432,262,413
Bartenders,253,602,131,701,122,498
"Combined food preparation and serving workers, including fast food",196,396,72,381,125,402
"Counter attendants, cafeteria, food concession, and coffee shop",68,374,20,,49,
Waiters and waitresses,949,470,342,504,607,441
"Food servers, nonrestaurant",104,479,33,,71,445
Dining room and cafeteria attendants and bartender helpers,133,420,82,465,51,407
Dishwashers,172,389,142,388,30,
"Hosts and hostesses, restaurant, lounge, and coffee shop",74,442,24,,50,432
"Food preparation and serving related workers, all other",3,,2,,1,
First-line supervisors of housekeeping and janitorial workers,189,655,119,702,71,524
"First-line supervisors of landscaping, lawn service, and groundskeeping 
workers",113,707,112,710,1,
Janitors and building cleaners,"1,580",526,"1,139",564,441,476
Maids and housekeeping cleaners,781,441,120,497,661,427
Pest control workers,61,655,59,649,2,
Grounds maintenance workers,878,502,844,503,34,
First-line supervisors of gaming workers,127,792,68,840,59,717
First-line supervisors of personal service workers,62,651,25,,37,
Animal trainers,24,,13,,11,
Nonfarm animal caretakers,88,485,17,,71,489
Gaming services workers,64,624,33,,31,
Motion picture projectionists,2,,2,,0,
"Ushers, lobby attendants, and ticket takers",14,,6,,8,
Miscellaneous entertainment attendants and related workers,79,481,48,,31,
Embalmers and funeral attendants,3,,1,,2,
"Morticians, undertakers, and funeral directors",23,,18,,5,
Barbers,56,584,48,,8,
"Hairdressers, hairstylists, and cosmetologists",307,510,27,,281,500
Miscellaneous personal appearance workers,205,490,37,,167,466
"Baggage porters, bellhops, and concierges",56,625,46,,10,
Tour and travel guides,18,,10,,8,
Childcare workers,405,452,24,,381,451
Personal care aides,762,477,125,514,636,469
Recreation and fitness workers,192,596,92,668,100,517
Residential advisors,19,,8,,11,
"Personal care and service workers, all other",61,573,35,,26,
First-line supervisors of retail sales workers,"2,368",743,"1,321",857,"1,047",630
First-line supervisors of non-retail sales workers,781,"1,137",552,"1,161",230,"1,004"
Cashiers,"1,367",414,402,475,965,403
Counter and rental clerks,84,517,47,,36,
Parts salespersons,96,639,85,643,11,
Retail salespersons,"1,831",623,"1,103",730,728,514
Advertising sales agents,203,"1,023",122,"1,034",81,999
Insurance sales agents,423,839,218,"1,166",205,676
"Securities, commodities, and financial services sales agents",219,"1,351",155,"1,458",63,951
Travel agents,46,,8,,38,
"Sales representatives, services, all other",427,"1,040",282,"1,202",145,826
"Sales representatives, wholesale and manufacturing","1,121","1,047",819,"1,140",302,872
"Models, demonstrators, and product promoters",14,,8,,6,
Real estate brokers and sales agents,493,983,209,"1,222",284,780
Sales engineers,40,,35,,5,
Telemarketers,42,,17,,25,
"Door-to-door sales workers, news and street vendors, and related workers",34,,23,,11,
"Sales and related workers, all other",171,805,103,946,68,709
First-line supervisors of office and administrative support workers,"1,203",848,383,942,819,809
"Switchboard operators, including answering service",17,,3,,14,
Telephone operators,36,,5,,31,
"Communications equipment operators, all other",5,,1,,4,
Bill and account collectors,144,625,39,,105,650
Billing and posting clerks,404,666,44,,360,660
"Bookkeeping, accounting, and auditing clerks",756,722,115,790,641,716
Gaming cage workers,9,,1,,8,
Payroll and timekeeping clerks,125,786,15,,110,785
Procurement clerks,25,,9,,16,
Tellers,235,542,39,,195,539
"Financial clerks, all other",62,708,18,,44,
Brokerage clerks,3,,2,,1,
Correspondence clerks,5,,0,,5,
"Court, municipal, and license clerks",79,691,19,,60,681
"Credit authorizers, checkers, and clerks",41,,8,,33,
Customer service representatives,"1,850",640,664,676,"1,185",623
"Eligibility interviewers, government programs",72,828,17,,55,735
File clerks,134,676,21,,113,680
"Hotel, motel, and resort desk clerks",102,513,36,,66,500
"Interviewers, except eligibility and loan",105,639,7,,98,634
"Library assistants, clerical",45,,8,,38,
Loan interviewers and clerks,124,774,25,,100,756
New accounts clerks,21,,0,,21,
Order clerks,85,646,40,,45,
"Human resources assistants, except payroll and timekeeping",36,,4,,32,
Receptionists and information clerks,951,583,103,600,848,581
Reservation and transportation ticket agents and travel clerks,102,705,46,,56,646
"Information and record clerks, all other",104,654,31,,73,631
Cargo and freight agents,23,,14,,9,
Couriers and messengers,160,726,135,739,25,
Dispatchers,279,704,126,734,153,671
"Meter readers, utilities",30,,28,,1,
Postal service clerks,111,901,58,999,53,805
Postal service mail carriers,304,981,185,"1,020",119,931
"Postal service mail sorters, processors, and processing machine operators",56,783,33,,23,
"Production, planning, and expediting clerks",224,853,113,935,111,765
"Shipping, receiving, and traffic clerks",473,596,322,602,151,583
Stock clerks and order fillers,"1,014",530,643,533,371,526
"Weighers, measurers, checkers, and samplers, recordkeeping",45,,21,,24,
Secretaries and administrative assistants,"2,210",713,133,831,"2,078",708
Computer operators,78,811,41,,37,
Data entry keyers,221,638,51,655,170,630
Word processors and typists,56,730,7,,48,
Desktop publishers,0,,0,,0,
Insurance claims and policy processing clerks,251,665,40,,210,658
"Mail clerks and mail machine operators, except postal service",56,619,33,,23,
"Office clerks, general",900,654,140,707,760,648
"Office machine operators, except computer",30,,14,,16,
Proofreaders and copy markers,5,,0,,5,
Statistical assistants,7,,5,,2,
"Office and administrative support workers, all other",457,768,107,855,351,751
"First-line supervisors of farming, fishing, and forestry workers",28,,25,,3,
Agricultural inspectors,18,,13,,5,
Animal breeders,2,,1,,1,
"Graders and sorters, agricultural products",74,511,25,,48,
Miscellaneous agricultural workers,659,508,547,524,111,423
Fishers and related fishing workers,4,,4,,0,
Hunters and trappers,1,,1,,0,
Forest and conservation workers,17,,17,,1,
Logging workers,39,,39,,0,
First-line supervisors of construction trades and extraction workers,558,"1,091",540,"1,101",18,
Boilermakers,26,,26,,0,
"Brickmasons, blockmasons, and stonemasons",119,741,119,741,0,
Carpenters,839,730,828,733,11,
"Carpet, floor, and tile installers and finishers",93,593,91,597,2,
"Cement masons, concrete finishers, and terrazzo workers",47,,47,,0,
Construction laborers,"1,322",692,"1,281",697,41,
"Paving, surfacing, and tamping equipment operators",11,,11,,0,
Pile-driver operators,4,,4,,0,
Operating engineers and other construction equipment operators,334,920,328,922,6,
"Drywall installers, ceiling tile installers, and tapers",138,600,137,601,1,
Electricians,667,952,649,951,18,
Glaziers,48,,47,,1,
Insulation workers,42,,40,,2,
"Painters, construction and maintenance",392,612,375,615,17,
Paperhangers,0,,0,,0,
"Pipelayers, plumbers, pipefitters, and steamfitters",475,927,464,925,11,
Plasterers and stucco masons,25,,25,,0,
Reinforcing iron and rebar workers,12,,12,,0,
Roofers,161,623,158,624,3,
Sheet metal workers,117,819,115,820,3,
Structural iron and steel workers,61,976,60,983,1,
Solar photovoltaic installers,10,,10,,0,
"Helpers, construction trades",42,,40,,2,
Construction and building inspectors,68,996,62,"1,040",6,
Elevator installers and repairers,41,,41,,0,
Fence erectors,30,,29,,0,
Hazardous materials removal workers,28,,24,,4,
Highway maintenance workers,85,745,83,723,2,
Rail-track laying and maintenance equipment operators,8,,8,,0,
Septic tank servicers and sewer pipe cleaners,9,,9,,0,
Miscellaneous construction and related workers,17,,17,,0,
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",29,,29,,0,
"Earth drillers, except oil and gas",23,,23,,0,
"Explosives workers, ordnance handling experts, and blasters",10,,9,,0,
Mining machine operators,48,,48,,0,
"Roof bolters, mining",3,,3,,0,
"Roustabouts, oil and gas",4,,4,,0,
Helpers--extraction workers,3,,3,,0,
Other extraction workers,29,,29,,0,
"First-line supervisors of mechanics, installers, and repairers",246,"1,020",221,"1,016",25,
"Computer, automated teller, and office machine repairers",165,851,150,861,15,
Radio and telecommunications equipment installers and repairers,132,950,110,975,22,
Avionics technicians,8,,8,,0,
"Electric motor, power tool, and related repairers",26,,23,,2,
"Electrical and electronics installers and repairers, transportation 
equipment",3,,3,,0,
"Electrical and electronics repairers, industrial and utility",15,,14,,1,
"Electronic equipment installers and repairers, motor vehicles",8,,8,,0,
Electronic home entertainment equipment installers and repairers,33,,32,,1,
Security and fire alarm systems installers,69,927,68,909,1,
Aircraft mechanics and service technicians,136,"1,047",134,"1,053",2,
Automotive body and related repairers,117,761,112,770,5,
Automotive glass installers and repairers,14,,14,,0,
Automotive service technicians and mechanics,688,730,677,729,11,
Bus and truck mechanics and diesel engine specialists,298,874,297,875,1,
Heavy vehicle and mobile equipment service technicians and mechanics,198,964,198,964,0,
Small engine mechanics,32,,30,,1,
"Miscellaneous vehicle and mobile equipment mechanics, installers, and 
repairers",74,641,73,646,0,
Control and valve installers and repairers,33,,32,,1,
"Heating, air conditioning, and refrigeration mechanics and installers",361,864,357,868,4,
Home appliance repairers,25,,25,,0,
Industrial and refractory machinery mechanics,385,968,374,973,11,
"Maintenance and repair workers, general",514,796,502,797,13,
"Maintenance workers, machinery",20,,19,,1,
Millwrights,35,,35,,0,
Electrical power-line installers and repairers,126,"1,161",125,"1,165",1,
Telecommunications line installers and repairers,172,850,168,824,4,
Precision instrument and equipment repairers,56,910,46,,10,
Wind turbine service technicians,5,,5,,0,
"Coin, vending, and amusement machine servicers and repairers",27,,24,,3,
Commercial divers,1,,1,,0,
Locksmiths and safe repairers,12,,12,,0,
Manufactured building and mobile home installers,7,,7,,0,
Riggers,11,,11,,0,
Signal and track switch repairers,4,,4,,0,
"Helpers--installation, maintenance, and repair workers",10,,9,,1,
"Other installation, maintenance, and repair workers",137,773,130,782,8,
First-line supervisors of production and operating workers,729,923,599,972,131,723
"Aircraft structure, surfaces, rigging, and systems assemblers",6,,4,,2,
"Electrical, electronics, and electromechanical assemblers",105,590,55,618,50,554
Engine and other machine assemblers,6,,6,,0,
Structural metal fabricators and fitters,22,,22,,0,
Miscellaneous assemblers and fabricators,990,601,645,625,345,559
Bakers,138,494,55,562,83,480
"Butchers and other meat, poultry, and fish processing workers",244,526,183,571,61,449
"Food and tobacco roasting, baking, and drying machine operators and tenders",16,,14,,2,
Food batchmakers,81,537,40,,42,
Food cooking machine operators and tenders,7,,6,,1,
"Food processing workers, all other",129,547,88,579,41,
Computer control programmers and operators,85,802,80,843,6,
"Extruding and drawing machine setters, operators, and tenders, metal and 
plastic",13,,11,,2,
"Forging machine setters, operators, and tenders, metal and plastic",5,,5,,0,
"Rolling machine setters, operators, and tenders, metal and plastic",13,,9,,3,
"Cutting, punching, and press machine setters, operators, and tenders, metal 
and plastic",86,639,68,672,18,
"Drilling and boring machine tool setters, operators, and tenders, metal and 
plastic",8,,8,,0,
"Grinding, lapping, polishing, and buffing machine tool setters, operators, 
and tenders, metal and plastic",45,,42,,3,
"Lathe and turning machine tool setters, operators, and tenders, metal and 
plastic",13,,12,,0,
"Milling and planing machine setters, operators, and tenders, metal and 
plastic",2,,2,,0,
Machinists,326,824,313,844,13,
"Metal furnace operators, tenders, pourers, and casters",31,,30,,1,
"Model makers and patternmakers, metal and plastic",3,,3,,0,
"Molders and molding machine setters, operators, and tenders, metal and 
plastic",28,,21,,7,
"Multiple machine tool setters, operators, and tenders, metal and plastic",2,,1,,1,
Tool and die makers,43,,43,,0,
"Welding, soldering, and brazing workers",558,743,535,753,23,
"Heat treating equipment setters, operators, and tenders, metal and plastic",2,,2,,0,
"Layout workers, metal and plastic",6,,6,,0,
"Plating and coating machine setters, operators, and tenders, metal and 
plastic",21,,20,,2,
"Tool grinders, filers, and sharpeners",4,,4,,0,
"Metal workers and plastic workers, all other",380,626,306,658,74,565
Prepress technicians and workers,15,,8,,7,
Printing press operators,170,701,137,748,33,
Print binding and finishing workers,11,,9,,2,
Laundry and dry-cleaning workers,135,454,55,486,80,436
"Pressers, textile, garment, and related materials",30,,10,,20,
Sewing machine operators,165,437,52,407,114,452
Shoe and leather workers and repairers,4,,3,,1,
Shoe machine operators and tenders,1,,1,,0,
"Tailors, dressmakers, and sewers",32,,7,,25,
Textile bleaching and dyeing machine operators and tenders,0,,0,,0,
"Textile cutting machine setters, operators, and tenders",7,,4,,3,
"Textile knitting and weaving machine setters, operators, and tenders",13,,2,,11,
"Textile winding, twisting, and drawing out machine setters, operators, and 
tenders",6,,2,,4,
"Extruding and forming machine setters, operators, and tenders, synthetic 
and glass fibers",0,,0,,0,
Fabric and apparel patternmakers,1,,1,,0,
Upholsterers,20,,19,,1,
"Textile, apparel, and furnishings workers, all other",13,,11,,2,
Cabinetmakers and bench carpenters,35,,30,,5,
Furniture finishers,9,,8,,1,
"Model makers and patternmakers, wood",0,,0,,0,
"Sawing machine setters, operators, and tenders, wood",31,,27,,4,
"Woodworking machine setters, operators, and tenders, except sawing",23,,19,,4,
"Woodworkers, all other",17,,15,,1,
"Power plant operators, distributors, and dispatchers",39,,37,,2,
Stationary engineers and boiler operators,77,924,72,954,4,
Water and wastewater treatment plant and system operators,76,883,72,885,3,
Miscellaneous plant and system operators,42,,38,,3,
"Chemical processing machine setters, operators, and tenders",50,924,46,,4,
"Crushing, grinding, polishing, mixing, and blending workers",88,643,82,642,6,
Cutting workers,62,576,50,546,13,
"Extruding, forming, pressing, and compacting machine setters, operators, 
and tenders",24,,19,,4,
"Furnace, kiln, oven, drier, and kettle operators and tenders",11,,10,,1,
"Inspectors, testers, sorters, samplers, and weighers",686,714,445,834,241,584
Jewelers and precious stone and metal workers,18,,11,,7,
"Medical, dental, and ophthalmic laboratory technicians",64,615,33,,31,
Packaging and filling machine operators and tenders,224,488,112,574,113,425
Painting workers,158,701,147,713,11,
Photographic process workers and processing machine operators,23,,11,,12,
Semiconductor processors,2,,2,,0,
Adhesive bonding machine operators and tenders,12,,7,,5,
"Cleaning, washing, and metal pickling equipment operators and tenders",2,,2,,0,
Cooling and freezing equipment operators and tenders,0,,0,,0,
Etchers and engravers,3,,3,,0,
"Molders, shapers, and casters, except metal and plastic",16,,14,,2,
"Paper goods machine setters, operators, and tenders",27,,21,,7,
Tire builders,11,,10,,1,
Helpers--production workers,25,,23,,3,
"Production workers, all other",887,622,641,690,246,515
Supervisors of transportation and material moving workers,165,807,126,843,39,
Aircraft pilots and flight engineers,119,"1,582",112,"1,600",7,
Air traffic controllers and airfield operations specialists,28,,19,,10,
Flight attendants,68,873,19,,49,
"Ambulance drivers and attendants, except emergency medical technicians",15,,13,,2,
Bus drivers,343,641,197,691,146,589
Driver/sales workers and truck drivers,"2,809",780,"2,689",787,120,630
Taxi drivers and chauffeurs,261,580,222,595,38,
"Motor vehicle operators, all other",25,,23,,2,
Locomotive engineers and operators,45,,45,,0,
"Railroad brake, signal, and switch operators",3,,3,,1,
Railroad conductors and yardmasters,52,"1,160",51,"1,148",1,
"Subway, streetcar, and other rail transportation workers",13,,13,,1,
Sailors and marine oilers,15,,14,,1,
Ship and boat captains and operators,28,,26,,1,
Ship engineers,4,,4,,0,
Bridge and lock tenders,3,,3,,0,
Parking lot attendants,67,519,62,513,4,
Automotive and watercraft service attendants,73,462,67,456,5,
Transportation inspectors,25,,20,,5,
"Transportation attendants, except flight attendants",20,,10,,10,
Other transportation workers,31,,24,,7,
Conveyor operators and tenders,4,,4,,0,
Crane and tower operators,66,909,66,909,0,
"Dredge, excavating, and loading machine operators",27,,27,,0,
Hoist and winch operators,11,,10,,0,
Industrial truck and tractor operators,564,602,510,604,54,563
Cleaners of vehicles and equipment,252,491,224,487,28,
"Laborers and freight, stock, and material movers, hand","1,417",566,"1,196",580,221,509
Machine feeders and offbearers,27,,14,,13,
"Packers and packagers, hand",383,456,166,468,216,437
Pumping station operators,13,,11,,1,
Refuse and recyclable material collectors,68,562,64,584,4,
Mine shuttle car operators,0,,0,,0,
"Tank car, truck, and ship loaders",3,,2,,0,
"Material moving workers, all other",46,,40,,6,
