job,total_workers,median_pay,men_workers,men_median_pay,women_workers,women_median_pay
Producers and directors,131,1489,89,1708,43,
"Athletes, coaches, umpires, and related workers",149,898,104,1031,45,
Dancers and choreographers,9,,4,,5,
"Musicians, singers, and related workers",41,,29,,12,
"Entertainers and performers, sports and related workers, all other",24,,10,,13,
Announcers,24,,18,,7,
"News analysts, reporters and correspondents",72,945,30,,42,
Public relations specialists,92,1339,35,,57,1203
Editors,124,1084,56,1123,68,992
Technical writers,67,1222,30,,37,
Writers and authors,106,1137,50,1171,57,1045
Miscellaneous media and communication workers,53,809,25,,28,
Broadcast and sound engineering technicians and radio operators,81,1150,71,1160,10,
Photographers,66,931,40,,25,
"Television, video, and motion picture camera operators and editors",46,,38,,8,
"Media and communication equipment workers, all other",5,,3,,2,
Chiropractors,11,,9,,2,
Dentists,41,,16,,25,
Dietitians and nutritionists,88,991,8,,80,996
Optometrists,19,,6,,13,
Pharmacists,254,1923,107,2228,147,1834
Physicians and surgeons,815,1918,463,2277,352,1759
Physician assistants,97,1747,31,,66,1640
Podiatrists,7,,3,,4,
Audiologists,13,,1,,12,
Occupational therapists,74,1301,12,,62,1273
Physical therapists,182,1317,64,1341,118,1297
Radiation therapists,11,,3,,8,
Recreational therapists,5,,1,,3,
Respiratory therapists,83,961,27,,56,904
Speech-language pathologists,106,1213,4,,102,1214
Exercise physiologists,5,,1,,3,
"Therapists, all other",142,983,29,,114,947
Veterinarians,60,1840,20,,40,
Registered nurses,2536,1150,283,1260,2253,1143
Nurse anesthetists,30,,13,,17,
Nurse midwives,5,,0,,5,
Nurse practitioners,141,1841,12,,129,1832
"Health diagnosing and treating practitioners, all other",15,,3,,12,
Clinical laboratory technologists and technicians,297,890,94,1061,203,845
Dental hygienists,78,1033,5,,73,1028
Diagnostic related technologists and technicians,271,1162,85,1404,186,1041
Emergency medical technicians and paramedics,203,984,145,1119,58,733
Health practitioner support technologists and technicians,469,710,98,858,371,678
Licensed practical and licensed vocational nurses,501,815,62,817,438,814
Medical records and health information technicians,151,763,11,,140,761
"Opticians, dispensing",43,,13,,30,
Miscellaneous health technologists and technicians,143,811,48,,95,746
"Nursing, psychiatric, and home health aides",1387,500,164,583,1223,493
Occupational therapy assistants and aides,13,,1,,11,
Physical therapist assistants and aides,47,,15,,33,
Massage therapists,51,632,15,,36,
Dental assistants,215,608,12,,203,602
Medical assistants,457,594,39,,418,597
Medical transcriptionists,21,,3,,18,
Pharmacy aides,25,,11,,14,
Veterinary assistants and laboratory animal caretakers,37,,4,,33,
Phlebotomists,97,635,16,,82,639
First-line supervisors of correctional officers,50,899,38,,12,
First-line supervisors of police and detectives,94,1348,81,1347,13,
First-line supervisors of fire fighting and prevention workers,43,,42,,2,
"First-line supervisors of protective service workers, all other",69,953,58,938,11,
Firefighters,272,1123,264,1136,8,
Fire inspectors,22,,22,,0,
"Bailiffs, correctional officers, and jailers",390,771,284,825,106,669
Detectives and criminal investigators,142,1256,110,1291,32,
Fish and game wardens,5,,5,,0,
Parking enforcement workers,4,,2,,2,
Police and sheriff's patrol officers,688,1015,595,1024,94,985
Transit and railroad police,6,,4,,2,
Animal control workers,12,,8,,4,
Private detectives and investigators,86,963,42,,44,
Security guards and gaming surveillance officers,740,596,570,616,170,548
Crossing guards,23,,17,,6,
Transportation security screeners,43,,32,,11,
"Lifeguards and other recreational, and all other protective service workers",49,,30,,19,
Chefs and head cooks,382,634,310,655,72,514
First-line supervisors of food preparation and serving workers,427,537,200,613,227,500
Cooks,1365,466,859,481,506,436
Food preparation workers,510,425,242,449,269,410
Bartenders,210,554,98,600,112,515
"Combined food preparation and serving workers, including fast food",175,407,75,415,100,401
"Counter attendants, cafeteria, food concession, and coffee shop",65,460,29,,36,
Waiters and waitresses,911,493,319,533,592,475
"Food servers, nonrestaurant",88,473,28,,59,468
Dining room and cafeteria attendants and bartender helpers,134,458,79,444,55,481
Dishwashers,131,401,111,408,19,
"Hosts and hostesses, restaurant, lounge, and coffee shop",67,401,9,,58,400
"Food preparation and serving related workers, all other",1,,1,,1,
First-line supervisors of housekeeping and janitorial workers,190,661,113,749,77,515
"First-line supervisors of landscaping, lawn service, and groundskeeping 
workers",111,723,102,760,9,
Janitors and building cleaners,1595,539,1136,574,459,481
Maids and housekeeping cleaners,815,450,128,508,687,439
Pest control workers,94,616,89,617,5,
Grounds maintenance workers,837,525,805,526,31,
First-line supervisors of gaming workers,126,797,73,837,53,763
First-line supervisors of personal service workers,76,619,31,,45,
Animal trainers,23,,16,,7,
Nonfarm animal caretakers,99,506,21,,78,504
Gaming services workers,66,692,37,,28,
Motion picture projectionists,0,,0,,0,
"Ushers, lobby attendants, and ticket takers",8,,6,,2,
Miscellaneous entertainment attendants and related workers,74,517,39,,36,
Embalmers and funeral attendants,15,,8,,7,
"Morticians, undertakers, and funeral directors",22,,19,,3,
Barbers,54,590,47,,8,
"Hairdressers, hairstylists, and cosmetologists",324,528,22,,302,521
Miscellaneous personal appearance workers,235,567,48,,187,538
"Baggage porters, bellhops, and concierges",70,547,56,543,14,
Tour and travel guides,21,,14,,6,
Childcare workers,448,482,35,,413,474
Personal care aides,735,486,127,520,608,479
Recreation and fitness workers,200,616,82,726,118,565
Residential advisors,27,,10,,17,
"Personal care and service workers, all other",76,570,37,,40,
First-line supervisors of retail sales workers,2388,764,1376,891,1013,639
First-line supervisors of non-retail sales workers,815,1062,541,1151,274,965
Cashiers,1360,438,378,493,982,422
Counter and rental clerks,78,607,48,,31,
Parts salespersons,115,786,108,800,7,
Retail salespersons,1896,615,1160,704,736,523
Advertising sales agents,193,887,87,895,106,882
Insurance sales agents,440,897,198,1058,242,795
"Securities, commodities, and financial services sales agents",231,1332,154,1416,77,911
Travel agents,57,665,10,,47,
"Sales representatives, services, all other",458,1147,339,1332,120,902
"Sales representatives, wholesale and manufacturing",1105,1157,796,1222,308,956
"Models, demonstrators, and product promoters",16,,4,,12,
Real estate brokers and sales agents,488,953,219,1159,269,818
Sales engineers,39,,36,,3,
Telemarketers,37,,11,,27,
"Door-to-door sales workers, news and street vendors, and related workers",41,,27,,15,
"Sales and related workers, all other",195,971,107,1147,89,799
First-line supervisors of office and administrative support workers,1261,867,408,987,854,819
"Switchboard operators, including answering service",16,,3,,12,
Telephone operators,35,,9,,27,
"Communications equipment operators, all other",5,,4,,2,
Bill and account collectors,130,674,38,,92,655
Billing and posting clerks,405,696,58,718,347,691
"Bookkeeping, accounting, and auditing clerks",718,719,92,743,625,716
Gaming cage workers,11,,0,,11,
Payroll and timekeeping clerks,103,765,13,,89,767
Procurement clerks,29,,14,,15,
Tellers,209,572,25,,184,562
"Financial clerks, all other",74,902,26,,48,
Brokerage clerks,5,,2,,3,
Correspondence clerks,6,,0,,5,
"Court, municipal, and license clerks",79,738,17,,62,718
"Credit authorizers, checkers, and clerks",50,807,20,,31,
Customer service representatives,1881,654,646,712,1234,637
"Eligibility interviewers, government programs",66,849,16,,50,779
File clerks,135,704,26,,109,706
"Hotel, motel, and resort desk clerks",84,486,35,,49,
"Interviewers, except eligibility and loan",106,671,16,,89,683
"Library assistants, clerical",45,,8,,37,
Loan interviewers and clerks,114,742,19,,95,725
New accounts clerks,36,,8,,28,
Order clerks,80,629,38,,42,
"Human resources assistants, except payroll and timekeeping",45,,8,,37,
Receptionists and information clerks,892,602,66,652,826,599
Reservation and transportation ticket agents and travel clerks,99,739,43,,56,691
"Information and record clerks, all other",92,691,19,,74,683
Cargo and freight agents,14,,10,,4,
Couriers and messengers,155,725,131,751,24,
Dispatchers,255,710,110,753,145,691
"Meter readers, utilities",14,,12,,2,
Postal service clerks,104,940,48,,56,925
Postal service mail carriers,266,944,158,965,108,856
"Postal service mail sorters, processors, and processing machine operators",49,,26,,23,
"Production, planning, and expediting clerks",238,911,118,1043,120,798
"Shipping, receiving, and traffic clerks",544,611,379,616,165,596
Stock clerks and order fillers,982,559,643,571,339,538
"Weighers, measurers, checkers, and samplers, recordkeeping",43,,22,,21,
Secretaries and administrative assistants,2165,739,119,852,2046,735
Computer operators,63,809,27,,35,
Data entry keyers,224,650,48,,176,640
Word processors and typists,80,683,8,,72,667
Desktop publishers,1,,0,,1,
Insurance claims and policy processing clerks,223,714,34,,189,711
"Mail clerks and mail machine operators, except postal service",46,,30,,16,
"Office clerks, general",935,682,142,780,793,670
"Office machine operators, except computer",27,,10,,17,
Proofreaders and copy markers,6,,2,,4,
Statistical assistants,17,,7,,10,
"Office and administrative support workers, all other",473,758,122,768,352,756
"First-line supervisors of farming, fishing, and forestry workers",51,711,47,,4,
Agricultural inspectors,14,,10,,4,
Animal breeders,3,,3,,0,
"Graders and sorters, agricultural products",99,500,32,,67,487
Miscellaneous agricultural workers,701,517,574,553,127,453
Fishers and related fishing workers,21,,21,,0,
Hunters and trappers,2,,0,,1,
Forest and conservation workers,25,,23,,2,
Logging workers,47,,46,,1,
First-line supervisors of construction trades and extraction workers,520,1158,506,1166,14,
