country,iso3c,gdp_percap
South Sudan,SSD,1693.04606202392
Sao Tome and Principe,STP,3239.41403435822
El Salvador,SLV,7726.17044367092
Sint Maarten (Dutch part),SXM,-99
Syrian Arab Republic,SYR,-99
Turks and Caicos Islands,TCA,-99
Chad,TCD,2025.73724557589
Togo,TGO,1497.42364345341
Thailand,THA,16937.9268850076
Tajikistan,TJK,2979.31023901638
Timor-Leste,TLS,7869.45147441981
Turkmenistan,TKM,16875.9877435703
Tunisia,TUN,11605.7551761891
Tonga,TON,5745.19122926423
Turkey,TUR,25247.2017504961
Trinidad and Tobago,TTO,31858.3554315218
Tuvalu,TUV,3766.48378057387
Tanzania,TZA,2786.27224269776
Ukraine,UKR,8269.61463354542
Uganda,UGA,1819.43435088296
United States,USA,57588.538070583
Uruguay,URY,21669.97739916
Uzbekistan,UZB,6512.68213066737
St. Vincent and the Grenadines,VCT,11413.2943920545
"Venezuela, RB",VEN,-99
British Virgin Islands,VGB,-99
Virgin Islands (U.S.),VIR,-99
Vietnam,VNM,6295.59058534397
Vanuatu,VUT,3080.56575433637
Samoa,WSM,6378.2565669184
Kosovo,XKX,10193.4110500557
"Yemen, Rep.",YEM,1595.18606506288
South Africa,ZAF,13250.5883248063
Zambia,ZMB,3938.66318847391
Zimbabwe,ZWE,2027.08491546614
