"CASE_ID","ACCIDENT_YEAR","COLLISION_DATE","INTERSECTION","COLLISION_TIME","DAY_OF_WEEK","PRIMARY_RD","SECONDARY_RD","NUMBER_KILLED","NUMBER_INJURED","HIT_AND_RUN","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","ALCOHOL_INVOLVED","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","COUNTY","CITY","POINT_X","POINT_Y"
"2471780",2006,2006-01-11,"N","1530",3,"MAY RD","VALLEY VIEW RD",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.28895,37.97182
"2471787",2006,2006-01-09,"Y","1322",1,"SOLANO AV","HUMBOLDT  AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32435,37.94326
"2471788",2006,2006-01-04,"N","0730",3,"RICHMOND PKY","BLUME DR",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31645,37.98679
"2471808",2006,2006-01-07,"Y","1255",6,"ROOSEVELT AV","21ST ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34955,37.93998
"2471814",2006,2006-01-13,"Y","1701",5,"37TH ST","CENTER AV",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33479,37.93018
"2471815",2006,2006-01-06,"N","1045",5,"CUTTING BL","RT 80",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32289,37.92794
"2471818",2006,2006-01-10,"Y","1300",2,"SAN PABLO AV","SOLANO WY",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32827,37.94204
"2471823",2006,2006-01-12,"Y","1630",4,"HARBOUR WY","CHANSLOR AV",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36005,37.9325
"2471834",2006,2006-01-09,"Y","0630",1,"SAN PABLO AV","RICHMOND PKY",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33294,37.9908
"2492818",2006,2006-02-03,"N","0905",5,"RT 80","CARLSON BL",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31757,37.91541
"2492862",2006,2006-02-01,"N","1640",3,"RT 580","BAYVIEW AV",0,1,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32476,37.91326
"2493846",2006,2006-01-23,"N","1725",1,"RT 80","HILLTOP DR",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31777,37.978
"2493858",2006,2006-01-21,"N","0233",6,"RT 80","RICHMOND PKY",0,2,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31595,37.98475
"2493901",2006,2006-01-26,"N","0545",4,"RT 80","BARRETT AV",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32692,37.93421
"2493982",2006,2006-01-12,"N","1522",4,"RT 80","MCBRYDE AV",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32542,37.94745
"2493998",2006,2006-01-11,"N","0740",3,"RT 80","HILLTOP DR",0,5,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31939,37.97365
"2495187",2006,2006-01-25,"N","0945",3,"RT 580","TOLL PLAZA",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.40544,37.93255
"2531859",2006,2006-01-14,"N","0303",6,"RT 80","CARLSON BL",0,1,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31579,37.90832
"2531911",2006,2006-02-06,"N","1954",1,"RT 80","HILLTOP DR",0,1,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31863,37.9759
"2532015",2006,2006-02-22,"N","0730",3,"RT 80","CARLSON BL",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31758,37.91473
"2532054",2006,2006-03-14,"N","2500",2,"RT 80","HILLTOP DR",0,1,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31992,37.97166
"2532125",2006,2006-01-21,"N","0835",6,"RT 80","HILLTOP DR",0,1,"M",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31924,37.9741
"2532504",2006,2006-01-10,"N","1535",2,"BARRETT AV","27TH ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34221,37.93771
"2532518",2006,2006-01-27,"N","1449",5,"RT 580","CANAL ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.37298,37.92708
"2532564",2006,2006-02-12,"N","0620",7,"RT 580","CASTRO ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.38071,37.92742
"2532582",2006,2006-02-22,"N","1515",3,"RT 80","HILLTOP DR",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31813,37.97688
"2532622",2006,2006-02-23,"N","0855",4,"RT 80","ALAMEDA/CONTRA COSTA CO LINE",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3094,37.89798
"2533121",2006,2006-03-05,"N","1930",7,"22ND ST","BARRETT AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34857,37.93842
"2533133",2006,2006-03-02,"Y","1219",4,"NEVIN AV","1ST ST",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36871,37.93684
"2533145",2006,2006-03-09,"Y","1824",4,"23RD ST","CLINTON AV",0,1,"N","Y",,,,0,1,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34751,37.94225
"2533149",2006,2006-03-09,"N","0552",4,"S 23RD ST","CUTTING BL",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34771,37.92528
"2533154",2006,2006-03-20,"N","1530",1,"23RD ST","CLINTON",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34751,37.9422
"2533166",2006,2006-03-18,"N","1808",6,"29TH ST","LINCOLN AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33884,37.94644
"2533169",2006,2006-03-05,"N","2010",7,"SAN PABLO AV","LA PUERTA DR",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34071,37.97876
"2533174",2006,2006-03-17,"Y","1617",5,"CARLSON BL","S 41ST ST",1,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3317,37.92038
"2533177",2006,2006-03-02,"Y","1936",4,"CHANSLOR AV","16TH ST",0,3,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3543,37.9325
"2533185",2006,2006-02-28,"Y","1300",2,"BARRETT AV","KEY BL",0,2,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32329,37.93584
"2533189",2006,2006-03-02,"Y","1221",4,"MACDONALD AV","42ND ST",0,5,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32997,37.93307
"2533190",2006,2006-03-14,"N","1240",2,"HILLTOP DR","VISTA DEL MAR AV",0,4,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",,
"2533194",2006,2006-03-12,"Y","1302",7,"BARRETT AV","22ND ST",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34873,37.93847
"2533240",2006,2006-02-24,"Y","1120",5,"CUTTING BL","S 45TH ST",0,4,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32721,37.92548
"2533248",2006,2006-03-03,"N","1715",5,"SAN PABLO AV","ROOSEVELT ST",0,2,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32568,37.93659
"2533252",2006,2006-02-17,"Y","0959",5,"MARINA WY SOUTH","VIRGINIA AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.35591,37.92664
"2533268",2006,2006-03-05,"-","1858",7,"ROBERT H MILLER","SAN PABLO AV",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34217,37.97594
"2534355",2006,2006-02-28,"Y","1545",2,"CUTTING BL","SOUTH 24TH ST",0,4,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34671,37.92519
"2534356",2006,2006-02-25,"Y","1116",6,"MAC DONALD AV","WILSON AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32467,37.93251
"2534367",2006,2006-02-27,"N","1832",1,"MACDONALD AV","HARBOUR WY",0,1,"F","Y",,,,0,1,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.35926,37.93565
"2534368",2006,2006-02-23,"-","1155",4,"ANDRADE AV","26TH ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34325,37.94777
"2534375",2006,2006-02-10,"Y","0815",5,"37TH ST","BARRETT AV",0,1,"N","Y",,,,0,1,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33367,37.93653
"2534379",2006,2006-02-10,"Y","1051",5,"MACDONALD AV","42ND ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32997,37.93307
"2534383",2006,2006-02-10,"N","1048",5,"ANNAPOLIS ST","LIGHT POLE 6212",0,2,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",,
"2534395",2006,2006-02-27,"Y","0821",1,"ATLAS RD","RICHMOND PKY",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33643,37.99105
"2534399",2006,2006-02-21,"N","1430",2,"MACDONALD AV","30TH ST",0,1,"N","Y",,,,0,1,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34032,37.93472
"2534405",2006,2006-02-15,"N","1544",3,"BARRETT AV","40TH ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33089,37.93615
"2534414",2006,2006-02-12,"N","1250",7,"N CASTRO ST","LIGHT POLE #12719",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",,
"2534418",2006,2006-02-11,"Y","1328",6,"ROOSEVELT AV","35TH ST",0,1,"N",,,"Y",,0,0,0,0,0,1,"CONTRA COSTA","RICHMOND",-122.33518,37.93832
"2534421",2006,2006-02-17,"-","1440",5,"CUTTING BL","S 35TH ST",0,1,"N","Y",,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33615,37.92524
"2534445",2006,2006-02-13,"N","1409",1,"CONESTOGA WY","CASTRO RANCH",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.25568,37.96387
"2534453",2006,2006-02-06,"Y","1645",1,"BARRETT AV","24TH ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34578,37.93824
"2534457",2006,2006-02-08,"Y","1010",3,"RICHMOND PKY","SAN PABLO AV",0,4,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33294,37.9908
"2534465",2006,2006-02-10,"Y","2023",5,"S 37TH ST","WALL AV",0,1,"N",,,"Y",,0,0,0,0,0,1,"CONTRA COSTA","RICHMOND",-122.33447,37.92805
"2534477",2006,2006-02-09,"Y","1819",4,"OHIO AV","HARBOUR WY S",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36006,37.93084
"2567642",2006,2006-03-07,"N","0850",2,"RT 80","CARLSON BL",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31758,37.91473
"2567645",2006,2006-03-02,"N","1755",4,"RT 80","CUTTING BL",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32291,37.92865
"2567664",2006,2006-03-05,"N","1408",7,"RT 80","EL PORTAL DR",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32735,37.96341
"2567713",2006,2006-02-12,"N","2159",7,"SANFORD AV","YORK ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36905,37.95198
"2567725",2006,2006-01-29,"N","1640",7,"RT 80","CUTTING BL",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32227,37.92707
"2567730",2006,2006-02-24,"N","1304",5,"RT 80","EL PORTAL DR",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32051,37.97033
"2567768",2006,2006-02-24,"N","1243",5,"RT 80","CARLSON BL",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3168,37.90956
"2567809",2006,2006-03-14,"N","0000",2,"RT 80","HILLTOP DR",0,1,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31992,37.97166
"2567823",2006,2006-02-26,"N","1434",7,"RT 80","RICHMOND PKY",1,4,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31581,37.98513
"2567828",2006,2006-02-25,"N","0534",6,"RT 80","RICHMOND PKY",0,1,"N","Y",,,,0,1,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31689,37.98131
"2601795",2006,2006-03-13,"N","0525",1,"RT 80","CARLSON BL",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31756,37.91308
"2601848",2006,2006-04-03,"N","0730",1,"RT 80","HILLTOP DR",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31873,37.97558
"2601883",2006,2006-04-09,"N","2100",7,"RT 80","CARLSON BL",0,1,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31755,37.91236
"2601922",2006,2006-03-13,"N","0905",1,"RT 80","MCBRYDE AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32569,37.94765
"2601923",2006,2006-04-01,"N","0630",6,"RT 580","WESTERN DR",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.39675,37.93266
"2601933",2006,2006-04-02,"N","2029",7,"RT 580","REGATTA BL",0,1,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33796,37.9214
"2601995",2006,2006-03-12,"N","1324",7,"RT 80","RICHMOND PKY",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31581,37.98513
"2601998",2006,2006-04-01,"N","0740",6,"RT 80","BARRETT AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32651,37.93361
"2602001",2006,2006-02-17,"N","0959",5,"RT 80","HILLTOP DR",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31894,37.97499
"2602005",2006,2006-02-15,"N","0001",3,"RT 80","SAN PABLO DAM RD",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32819,37.95281
"2615681",2006,2006-04-17,"Y","1433",1,"MARINA WY S","WRIGHT AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.35594,37.9212
"2615683",2006,2006-04-29,"Y","1849",6,"CUTTING BL","S 34TH  ST",0,1,"N",,"Y",,,0,0,0,1,0,0,"CONTRA COSTA","RICHMOND",-122.33698,37.92532
"2615684",2006,2006-05-09,"Y","1045",2,"MACDONALD AV","42ND ST",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32997,37.93307
"2615689",2006,2006-04-17,"N","0910",1,"CUTTING BL","S 29TH ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34193,37.92524
"2615695",2006,2006-04-27,"Y","1223",4,"MAY RD","ROBERT DR",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.28939,37.97142
"2615698",2006,2006-04-26,"N","1530",3,"MACDONALD AV","13TH ST",0,2,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.35692,37.93575
"2615700",2006,2006-05-10,"Y","0755",3,"MARINA BAY PKY","PIERSON DR",0,1,"N",,"Y",,,0,0,0,1,0,0,"CONTRA COSTA","RICHMOND",-122.34473,37.91734
"2615702",2006,2006-04-27,"Y","0930",4,"HARBOUR WY S","MAINE AV",0,1,"F","Y",,,,0,1,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36009,37.92805
"2615705",2006,2006-04-21,"Y","2155",5,"LINCOLN AV","20TH ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.35019,37.94598
"2615710",2006,2006-04-25,"Y","1544",2,"BARRETT AV","30TH ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.3398,37.93739
"2615711",2006,2006-05-03,"N","1849",3,"HILLTOP MALL RD","ROBERT H MILLER DR",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33183,37.9791
"2615714",2006,2006-04-25,"N","1313",2,"7TH ST","LUCAS ST",0,1,"N","Y",,,,0,1,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36277,37.94535
"2615715",2006,2006-05-01,"Y","1644",1,"SAN PABLO AV","ROBERT MILLER",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34217,37.97594
"2615717",2006,2006-04-19,"N","1104",3,"24TH ST","EXCHANGE",0,1,"F","Y",,,,0,1,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34656,37.93475
"2615721",2006,2006-04-17,"N","1437",1,"MACDONALD AV","WILSON AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",,
"2615722",2006,2006-04-25,"N","0500",2,"CLINTON AV","AMADOR ST",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32192,37.94206
"2615726",2006,2006-04-25,"N","2212",2,"RYDIN RD","CENTRAL AV",0,1,"N","Y",,,,0,1,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31661,37.8996
"2615731",2006,2006-04-18,"Y","1631",2,"LOWELL AV","32ND ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33676,37.94923
"2615735",2006,2006-05-06,"Y","1051",6,"BARRETT AV","27TH ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34233,37.93773
"2615737",2006,2006-04-22,"N","1423",6,"LINCOLN AV","LINCOLN AV 2372",0,1,"F","Y",,,,0,1,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34592,37.94635
"2615738",2006,2006-04-30,"Y","2308",7,"NEVIN AV","44TH ST",0,2,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.328,37.93412
"2615749",2006,2006-04-24,"N","1700",1,"23RD ST","CLINTON",0,1,"F",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.34751,37.94228
"2615751",2006,2006-05-12,"Y","1557",5,"RICHMOND PKY","BLUME DR",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31717,37.98687
"2615759",2006,2006-05-02,"N","1716",2,"SAN PABLO AV","BARRETT AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32511,37.93531
"2615800",2006,2006-04-05,"N","1850",3,"HILLTOP MALL RD","GARRITY",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32614,37.97853
"2615812",2006,2006-04-11,"N","2340",2,"HILLTOP DR","RT 80",0,1,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31814,37.9762
"2615820",2006,2006-04-16,"Y","1156",7,"37TH ST","BARRETT AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.33367,37.93653
"2616247",2006,2006-03-25,"N","1046",6,"RT 580","REGATTA BL",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32512,37.9137
