"CASE_ID","ACCIDENT_YEAR","COLLISION_DATE","INTERSECTION","COLLISION_TIME","DAY_OF_WEEK","PRIMARY_RD","SECONDARY_RD","NUMBER_KILLED","NUMBER_INJURED","HIT_AND_RUN","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","ALCOHOL_INVOLVED","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","COUNTY","CITY","POINT_X","POINT_Y"
"6079766",2013,2013-05-13,"Y","1038",1,"21ST ST","ADELINE ST",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.28441,37.81441
"6079770",2013,2013-05-11,"Y","2130",6,"85TH AV","E ST",0,1,"N",,,"Y",,0,0,0,0,0,1,"ALAMEDA","OAKLAND",,
"6079774",2013,2013-05-12,"N","1157",7,"MARTIN LUTHER KING JR WY","33RD ST",0,4,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.27021,37.82284
"6079818",2013,2013-05-16,"Y","2136",4,"MARTIN LUTHER KING JR WY","17TH ST",0,3,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.27481,37.80812
"6079822",2013,2013-05-11,"Y","1659",6,"INTERNATIONAL BL","62ND AV",0,4,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.1972,37.764
"6079829",2013,2013-05-19,"Y","1944",7,"BANCROFT AV","88TH AV",0,3,"F",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.16688,37.75498
"6079833",2013,2013-05-15,"Y","1741",3,"ADELINE ST","16TH ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.28565,37.81106
"6079837",2013,2013-05-15,"Y","1125",3,"8TH ST","JACKSON ST",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.26789,37.79787
"6080904",2013,2013-04-12,"N","0216",5,"50TH AV","SAN LEANDRO ST",0,1,"M",,,,"Y",0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.21214,37.76638
"6081093",2013,2013-05-15,"Y","1920",3,"MARTIN LUTHER KING JR WY","53RD ST",0,1,"F",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.26926,37.83802
"6081097",2013,2013-05-15,"Y","1906",3,"3RD ST","JACKSON ST",0,2,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.27001,37.79446
"6081101",2013,2013-05-15,"Y","1323",3,"SAN LEANDRO ST","54TH AV",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.20964,37.76431
"6081105",2013,2013-05-22,"Y","2029",3,"HIGH ST","OAKPORT DR",0,1,"N",,,"Y",,0,0,0,0,0,1,"ALAMEDA","OAKLAND",,
"6082526",2013,2013-04-09,"N","1820",2,"A ST","90TH ST",0,1,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.17654,37.7492
"6083682",2013,2013-03-27,"N","1950",3,"EDGEWATER DR","HEGENBERGER RD",0,2,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.19711,37.73692
"6083686",2013,2013-03-08,"N","1200",5,"MADERA AV","FLEMING AV",0,1,"N",,,"Y",,0,0,0,0,0,1,"ALAMEDA","OAKLAND",-122.1931,37.77818
"6086150",2013,2013-05-12,"N","1230",7,"RT 880","98TH AV",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.18545,37.72827
"6086154",2013,2013-05-12,"N","1235",7,"RT 24","KAY ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.22244,37.85176
"6086685",2013,2013-05-12,"N","1210",7,"RT 880","HEGENBERGER RD",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.19291,37.7368
"6086689",2013,2013-05-04,"N","1250",6,"RT 580","LAKE PARK AV",0,1,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.23958,37.80731
"6086961",2013,2013-05-09,"Y","2334",4,"98TH AV","EDES ST",0,3,"F",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.1833,37.73641
"6086962",2013,2013-05-09,"N","1533",4,"GOSS ST","WOOD ST",0,1,"F","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.30239,37.80779
"6086963",2013,2013-05-03,"N","1145",5,"TELEGRAPH AV","33RD ST",0,1,"N",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.26648,37.8218
"6086964",2013,2013-05-01,"Y","0800",3,"28TH ST","ETTIE ST",0,1,"N",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.2874,37.82141
"6086965",2013,2013-05-08,"Y","1710",3,"7TH ST","MARTIN LUTHER KING JR WY",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.27903,37.80137
"6087028",2013,2013-05-09,"N","1943",4,"LAKESHORE AV","BROOKLYN AV",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.2507,37.80492
"6087868",2013,2013-01-24,"Y","1030",4,"SEMINARY AV","OUTLOOK AV",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.18063,37.77961
"6087869",2013,2013-01-25,"N","1025",5,"23RD ST","SAN PABLO AV",0,1,"F","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.27275,37.81358
"6087870",2013,2013-01-03,"Y","1738",4,"INTERNATIONAL BL","12TH AV",0,1,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.24806,37.79061
"6087871",2013,2013-01-04,"Y","1701",5,"SAN PABLO AV","32ND ST",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.27739,37.8229
"6087872",2013,2013-01-29,"N","1730",2,"MARTIN LUTHER KING JR WY","51ST ST",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.26792,37.83633
"6087883",2013,2013-02-26,"Y","2135",2,"35TH AV","RT 580",0,1,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.20603,37.79433
"6087884",2013,2013-02-25,"Y","1445",1,"INTERNATIONAL BL","92ND AV",0,1,"F","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.17369,37.74874
"6087885",2013,2013-02-24,"N","1919",7,"73RD AV","HALLIDAY AV",0,1,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.17798,37.76523
"6087887",2013,2013-02-15,"Y","2000",5,"BROCKHURST ST","SAN PABLO AV",0,1,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.27755,37.82358
"6087917",2013,2013-03-24,"N","0929",7,"INTERNATIONAL BL","35TH AV",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.22261,37.77604
"6088303",2013,2013-03-31,"Y","1749",7,"FOOTHILL BL","21ST AV",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.23738,37.78688
"6088447",2013,2013-05-06,"N","0625",1,"RT 24","CLAREMONT ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.25422,37.84379
"6089323",2013,2013-05-10,"Y","2124",5,"INTERNATIONAL BL","HIGH ST",0,3,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.21487,37.77234
"6089327",2013,2013-05-10,"N","0950",5,"BROADWAY","14TH ST",0,1,"N",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.27118,37.80434
"6089331",2013,2013-05-11,"Y","1338",6,"HAVENSCOURT BL","BRANN ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.18168,37.7711
"6089343",2013,2013-03-21,"Y","1713",4,"98TH AV","B ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.1739,37.74274
"6089347",2013,2013-03-26,"N","1554",2,"12TH ST","OAK ST",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.26384,37.7997
