country,iso3c,year,value
Aruba,ABW,1990,73.3899756097561
Aruba,ABW,1991,73.4331219512195
Aruba,ABW,1992,73.47175609756098
Aruba,ABW,1993,73.50531707317074
Aruba,ABW,1994,73.53575609756099
Aruba,ABW,1995,73.56360975609756
Aruba,ABW,1996,73.58943902439024
Aruba,ABW,1997,73.61480487804879
Aruba,ABW,1998,73.64229268292684
Aruba,ABW,1999,73.67539024390246
Aruba,ABW,2000,73.72060975609757
Aruba,ABW,2001,73.7829024390244
Aruba,ABW,2002,73.86524390243902
Aruba,ABW,2003,73.96856097560976
Aruba,ABW,2004,74.0908536585366
Aruba,ABW,2005,74.22807317073172
Aruba,ABW,2006,74.37619512195123
Aruba,ABW,2007,74.52675609756099
Aruba,ABW,2008,74.6757317073171
Aruba,ABW,2009,74.81814634146343
Aruba,ABW,2010,74.95353658536587
Aruba,ABW,2011,75.08139024390245
Aruba,ABW,2012,75.205756097561
Aruba,ABW,2013,75.32865853658537
Aruba,ABW,2014,75.45109756097563
Andorra,AND,,
Afghanistan,AFG,1990,49.861048780487806
Afghanistan,AFG,1991,50.6409756097561
Afghanistan,AFG,1992,51.3629268292683
Afghanistan,AFG,1993,52.021878048780486
Afghanistan,AFG,1994,52.61434146341463
Afghanistan,AFG,1995,53.13939024390245
Afghanistan,AFG,1996,53.60204878048781
Afghanistan,AFG,1997,54.01782926829269
Afghanistan,AFG,1998,54.40273170731707
Afghanistan,AFG,1999,54.76726829268293
Afghanistan,AFG,2000,55.12587804878049
Afghanistan,AFG,2001,55.48753658536586
Afghanistan,AFG,2002,55.85719512195122
Afghanistan,AFG,2003,56.23529268292684
Afghanistan,AFG,2004,56.62631707317074
Afghanistan,AFG,2005,57.02724390243904
Afghanistan,AFG,2006,57.43256097560976
Afghanistan,AFG,2007,57.83382926829268
Afghanistan,AFG,2008,58.22502439024391
Afghanistan,AFG,2009,58.60368292682927
Afghanistan,AFG,2010,58.97082926829269
Afghanistan,AFG,2011,59.3279512195122
Afghanistan,AFG,2012,59.67960975609756
Afghanistan,AFG,2013,60.02826829268294
Afghanistan,AFG,2014,60.37446341463415
Angola,AGO,1990,41.13834146341464
Angola,AGO,1991,41.20634146341464
Angola,AGO,1992,41.3130243902439
Angola,AGO,1993,41.47819512195123
Angola,AGO,1994,41.71624390243903
Angola,AGO,1995,42.05146341463415
Angola,AGO,1996,42.50163414634147
Angola,AGO,1997,43.06212195121952
Angola,AGO,1998,43.71426829268293
Angola,AGO,1999,44.43900000000001
Angola,AGO,2000,45.20478048780489
Angola,AGO,2001,45.973146341463426
Angola,AGO,2002,46.71173170731708
Angola,AGO,2003,47.39317073170732
Angola,AGO,2004,48.00351219512196
Angola,AGO,2005,48.53880487804878
Angola,AGO,2006,49.00704878048781
Angola,AGO,2007,49.435731707317075
Angola,AGO,2008,49.847390243902446
Angola,AGO,2009,50.251024390243906
Angola,AGO,2010,50.65417073170732
Angola,AGO,2011,51.05931707317073
Angola,AGO,2012,51.46400000000001
Angola,AGO,2013,51.86617073170732
Angola,AGO,2014,52.26687804878049
Albania,ALB,1990,71.95731707317073
Albania,ALB,1991,71.91841463414634
Albania,ALB,1992,71.90080487804879
Albania,ALB,1993,71.9358536585366
Albania,ALB,1994,72.0419512195122
Albania,ALB,1995,72.23602439024391
Albania,ALB,1996,72.52741463414634
Albania,ALB,1997,72.89809756097561
Albania,ALB,1998,73.32658536585367
Albania,ALB,1999,73.79339024390245
Albania,ALB,2000,74.27153658536587
Albania,ALB,2001,74.73256097560976
Albania,ALB,2002,75.15460975609756
Albania,ALB,2003,75.52329268292684
Albania,ALB,2004,75.83121951219513
Albania,ALB,2005,76.08160975609756
Albania,ALB,2006,76.28612195121951
Albania,ALB,2007,76.47029268292683
Albania,ALB,2008,76.65207317073171
Albania,ALB,2009,76.84036585365855
Albania,ALB,2010,77.0369512195122
Albania,ALB,2011,77.24058536585366
Albania,ALB,2012,77.44397560975611
Albania,ALB,2013,77.64046341463416
Albania,ALB,2014,77.83046341463417
Arab World,ARB,1990,64.44877569583379
Arab World,ARB,1991,64.79622434651326
Arab World,ARB,1992,65.06981037418988
Arab World,ARB,1993,65.40025215492517
Arab World,ARB,1994,65.74610784054659
Arab World,ARB,1995,66.14583108606178
Arab World,ARB,1996,66.48673929429148
Arab World,ARB,1997,66.81794364243436
Arab World,ARB,1998,67.11819033967376
Arab World,ARB,1999,67.40331314405749
Arab World,ARB,2000,67.65143489471788
Arab World,ARB,2001,67.88466981665775
Arab World,ARB,2002,68.10262516115063
Arab World,ARB,2003,68.31355587578814
Arab World,ARB,2004,68.53272279816389
Arab World,ARB,2005,68.75352096921041
Arab World,ARB,2006,68.98318856209015
Arab World,ARB,2007,69.20700822784873
Arab World,ARB,2008,69.41718277695993
Arab World,ARB,2009,69.61892948980815
Arab World,ARB,2010,69.81302480395996
Arab World,ARB,2011,69.99300951593354
Arab World,ARB,2012,70.17366956996099
Arab World,ARB,2013,70.36980567831843
Arab World,ARB,2014,70.56790191057728
United Arab Emirates,ARE,1990,71.72014634146342
United Arab Emirates,ARE,1991,72.01229268292684
United Arab Emirates,ARE,1992,72.29641463414634
United Arab Emirates,ARE,1993,72.5730243902439
United Arab Emirates,ARE,1994,72.84558536585367
United Arab Emirates,ARE,1995,73.1150731707317
United Arab Emirates,ARE,1996,73.3839268292683
United Arab Emirates,ARE,1997,73.65265853658538
United Arab Emirates,ARE,1998,73.92021951219513
United Arab Emirates,ARE,1999,74.18717073170734
United Arab Emirates,ARE,2000,74.45153658536586
United Arab Emirates,ARE,2001,74.7128780487805
United Arab Emirates,ARE,2002,74.96826829268294
United Arab Emirates,ARE,2003,75.21721951219513
United Arab Emirates,ARE,2004,75.45726829268293
United Arab Emirates,ARE,2005,75.68639024390245
United Arab Emirates,ARE,2006,75.90453658536588
United Arab Emirates,ARE,2007,76.11117073170732
United Arab Emirates,ARE,2008,76.30775609756098
United Arab Emirates,ARE,2009,76.49478048780489
United Arab Emirates,ARE,2010,76.67524390243904
United Arab Emirates,ARE,2011,76.85119512195122
United Arab Emirates,ARE,2012,77.02414634146342
United Arab Emirates,ARE,2013,77.19563414634146
United Arab Emirates,ARE,2014,77.36817073170734
Argentina,ARG,1990,71.54365853658537
Argentina,ARG,1991,71.76329268292685
Argentina,ARG,1992,71.9889512195122
Argentina,ARG,1993,72.21565853658538
Argentina,ARG,1994,72.44139024390245
Argentina,ARG,1995,72.66512195121952
Argentina,ARG,1996,72.88734146341464
Argentina,ARG,1997,73.1080487804878
Argentina,ARG,1998,73.32768292682928
Argentina,ARG,1999,73.54426829268293
