country,iso3c,gdp_percap
Swaziland,SWZ,8575.05738522317
Turks and Caicos Islands,TCA,-99
Chad,TCD,2180.17983061136
Togo,TGO,1438.24835858053
Thailand,THA,16222.97175206
Tajikistan,TJK,2811.51371422462
Timor-Leste,TLS,2290.34726599397
Turkmenistan,TKM,15962.7695996189
Tunisia,TUN,11445.6928088012
Tonga,TON,5524.73679187774
Turkey,TUR,24054.1777533142
Trinidad and Tobago,TTO,33308.4224508557
Tuvalu,TUV,3538.94518373201
Tanzania,TZA,2652.19565474174
Ukraine,UKR,7948.14209569081
Uganda,UGA,1802.08620561339
United States,USA,56207.0367472679
Uruguay,URY,21115.1266378707
Uzbekistan,UZB,6069.20979092081
St. Vincent and the Grenadines,VCT,11140.3498888459
"Venezuela, RB",VEN,-99
Virgin Islands (U.S.),VIR,-99
Vietnam,VNM,6034.25994918754
Vanuatu,VUT,2988.47194446138
Samoa,WSM,5918.6100248584
"Yemen, Rep.",YEM,2811.99956047372
South Africa,ZAF,13229.6246256756
Zambia,ZMB,3861.98922882366
Zimbabwe,ZWE,2013.16711664207
